fLength,fWidth,fSize,fConc,fConc1,fAsym,fM3Long,fM3Trans,fAlpha,fDist,class
4.723732,4.492471,5.0352135,3.9142785,6.4002924,4.407918,6.303313,4.672867,1.2953249,2.7070708,0
4.6980815,3.4332852,4.122131,4.0209813,6.371349,3.2944555,3.9061258,4.857091,5.29413,1.9427198,1
4.7252445,4.479585,4.98591,3.9596324,6.458445,4.4097605,6.3239436,4.6795664,1.3227564,2.658508,0
4.7252445,4.479585,4.98591,3.9596324,6.458445,4.4097605,6.3239436,4.6795664,1.3227564,2.658508,0
4.7211866,4.4812417,5.0102386,3.933858,6.42045,4.405952,6.300731,4.6732225,1.308961,2.6832466,0
4.724309,4.4803467,4.9920764,3.9533248,6.4492884,4.408879,6.3183317,4.6780677,1.3193471,2.6651218,0
4.7252445,4.479585,4.98591,3.9596324,6.458445,4.4097605,6.3239436,4.6795664,1.3227564,2.658508,0
4.7251253,4.479302,4.9856987,3.9597144,6.458359,4.4096594,6.3235536,4.6794815,1.322875,2.6582646,0
4.7235413,4.4917717,5.0337834,3.9153585,6.401328,4.4077673,6.3029876,4.6728473,1.2961075,2.7056983,0
4.7252445,4.479585,4.98591,3.9596324,6.458445,4.4097605,6.3239436,4.6795664,1.3227564,2.658508,0
4.704943,3.4373507,4.124231,4.023705,6.3830304,3.3421586,3.9120982,4.868319,5.31927,1.9439745,1
4.7048745,3.4372475,4.1244426,4.023348,6.382252,3.3384414,3.9117675,4.8677254,5.3192053,1.9439868,1
4.7251024,4.4792676,4.985705,3.9596882,6.4582925,4.4096394,6.323467,4.6794605,1.3228709,2.6582708,0
4.7244368,4.4790525,4.9880056,3.9570494,6.454037,4.4090343,6.320139,4.6786165,1.3215991,2.6607707,0
4.724308,4.4795127,4.989815,3.955336,6.451747,4.4089026,6.319056,4.678309,1.3206027,2.6627138,0
4.6995997,3.4342139,4.123044,4.020937,6.372683,3.30021,3.906952,4.8587246,5.299587,1.9431183,1
4.723939,4.493235,5.036774,3.9131007,6.399164,4.408082,6.3036675,4.6728883,1.2944723,2.7085707,0
4.7251024,4.4792676,4.985705,3.9596882,6.4582925,4.4096394,6.323467,4.6794605,1.3228709,2.6582708,0
4.7008195,3.434953,4.1236677,4.0210648,6.374066,3.3060613,3.9077413,4.8602495,5.303988,1.943409,1
4.7252445,4.479585,4.98591,3.9596324,6.458445,4.4097605,6.3239436,4.6795664,1.3227564,2.658508,0
4.7026324,3.4361858,4.12296,4.023613,6.380647,3.335228,3.9107552,4.8657384,5.309713,1.9435471,1
4.692322,3.4311693,4.1229806,4.0157075,6.354749,3.2485175,3.8985143,4.843722,5.2649384,1.9429396,1
4.724329,4.47959,4.9899254,3.955257,6.451683,4.40892,6.319101,4.6783156,1.3205415,2.6628344,0
4.6982327,3.4333801,4.122293,4.0208764,6.371291,3.2942543,3.9061322,4.8571215,5.2946744,1.9427764,1
4.692848,3.4314334,4.1231847,4.015757,6.355464,3.2503915,3.8989108,4.8444395,5.2674446,1.9430214,1
4.7211866,4.4812417,5.0102386,3.933858,6.42045,4.405952,6.300731,4.6732225,1.308961,2.6832466,0
4.716508,4.4751196,5.021176,3.9204564,6.39666,4.4017725,6.2800035,4.6678824,1.3032385,2.691936,0
4.704434,3.437068,4.124331,4.0231605,6.381457,3.3363469,3.9113824,4.867023,5.3171906,1.9439576,1
4.7253075,4.4792595,4.984791,3.9606771,6.459817,4.409828,6.3245573,4.679742,1.3233721,2.6572883,0
4.724228,4.4715233,4.9690986,3.9730864,6.4730268,4.4090743,6.3251634,4.6803994,1.3318383,2.6408017,0
4.7239275,4.493193,5.036688,3.913165,6.399225,4.4080725,6.303647,4.672887,1.294519,2.7084882,0
4.6967435,3.4324923,4.121723,4.020442,6.3690643,3.2850356,3.9049633,4.85489,5.289229,1.9424751,1
4.6997128,3.435906,4.131693,4.009646,6.3499994,3.233342,3.8981621,4.843775,5.2870555,1.9460201,1
4.6997786,3.434294,4.1223907,4.022033,6.374938,3.309471,3.9078875,4.860373,5.3001842,1.942979,1
4.7251024,4.4792676,4.985705,3.9596882,6.4582925,4.4096394,6.323467,4.6794605,1.3228709,2.6582708,0
4.7337227,4.5340257,5.118918,3.850377,6.337779,4.4156694,6.3171144,4.6731052,1.2494448,2.7958362,0
4.7207003,4.476102,4.997399,3.9449959,6.433401,4.4056673,6.302819,4.674188,1.3161751,2.6703057,0
4.723732,4.492471,5.0352135,3.9142785,6.4002924,4.407918,6.303313,4.672867,1.2953249,2.7070708,0
4.7252445,4.479585,4.98591,3.9596324,6.458445,4.4097605,6.3239436,4.6795664,1.3227564,2.658508,0
4.7239275,4.493193,5.036688,3.913165,6.399225,4.4080725,6.303647,4.672887,1.294519,2.7084882,0
4.7252445,4.479585,4.98591,3.9596324,6.458445,4.4097605,6.3239436,4.6795664,1.3227564,2.658508,0
4.733884,4.5346613,5.120024,3.8495593,6.3370347,4.4157977,6.317395,4.673135,1.2488382,2.797067,0
4.698269,3.433403,4.1223383,4.0208383,6.371253,3.2940938,3.9061246,4.857111,5.2948112,1.9427922,1
4.7210016,4.464621,4.965244,3.973576,6.4686213,4.4062963,6.314084,4.677886,1.3339344,2.6363118,0
4.7253075,4.4792595,4.984791,3.9606771,6.459817,4.409828,6.3245573,4.679742,1.3233721,2.6572883,0
4.702893,3.436136,4.1236877,4.0227866,6.3793073,3.3272402,3.9102242,4.8648157,5.3116584,1.9436257,1
4.723732,4.492471,5.0352135,3.9142785,6.4002924,4.407918,6.303313,4.672867,1.2953249,2.7070708,0
4.7287908,3.4682903,4.2054276,3.936695,6.2095566,2.9868991,3.8522108,4.7741084,5.2282104,1.9753048,1
4.704053,3.4369855,4.1231985,4.02441,6.383591,3.3460321,3.912183,4.868375,5.3153343,1.9437301,1
4.70289,3.4361281,4.123493,4.023069,6.3798413,3.3294337,3.9104366,4.8651853,5.3116426,1.9435773,1
4.7016273,3.4353843,4.1230702,4.022618,6.3777947,3.321099,3.9093778,4.863191,5.3070073,1.9433386,1
4.7037063,3.4366238,4.123952,4.0230956,6.3806562,3.3328981,3.9109204,4.8661284,5.31459,1.9437815,1
4.7247744,4.496376,5.0433636,3.908084,6.3942814,4.408741,6.30502,4.6729417,1.2908657,2.7148843,0
4.7303724,4.485141,4.9790406,3.9704628,6.4794245,4.4143577,6.345609,4.684986,1.3268176,2.650941,0
4.7239275,4.493193,5.036688,3.913165,6.399225,4.4080725,6.303647,4.672887,1.294519,2.7084882,0
4.7244368,4.4790525,4.9880056,3.9570494,6.454037,4.4090343,6.320139,4.6786165,1.3215991,2.6607707,0
4.723732,4.492471,5.0352135,3.9142785,6.4002924,4.407918,6.303313,4.672867,1.2953249,2.7070708,0
4.7051563,3.4374251,4.1242857,4.023795,6.3834143,3.3430154,3.9122818,4.8686523,5.3203015,1.9439818,1
4.698497,3.4335399,4.1224008,4.0209413,6.3716626,3.2958198,3.906331,4.8575025,5.2956243,1.9428337,1
4.7244368,4.4790525,4.9880056,3.9570494,6.454037,4.4090343,6.320139,4.6786165,1.3215991,2.6607707,0
4.7265854,4.4746904,4.9685187,3.9762082,6.480456,4.411174,6.3344193,4.6826706,1.3325634,2.639298,0
4.7252445,4.479585,4.98591,3.9596324,6.458445,4.4097605,6.3239436,4.6795664,1.3227564,2.658508,0
4.7036138,3.4365623,4.123873,4.0231276,6.380632,3.332714,3.910892,4.8660655,5.3142757,1.9437499,1
4.723732,4.492471,5.0352135,3.9142785,6.4002924,4.407918,6.303313,4.672867,1.2953249,2.7070708,0
4.7244368,4.4790525,4.9880056,3.9570494,6.454037,4.4090343,6.320139,4.6786165,1.3215991,2.6607707,0
4.702551,3.4359348,4.1234617,4.02283,6.3790655,3.3263345,3.9100633,4.8644953,5.310379,1.9435353,1
4.7253017,4.479239,4.984768,3.9606915,6.4598236,4.409823,6.3245397,4.679739,1.3233845,2.6572633,0
4.697086,3.4327056,4.12211,4.020178,6.3688846,3.2843273,3.904956,4.8549213,5.29051,1.9426051,1
4.723732,4.492471,5.0352135,3.9142785,6.4002924,4.407918,6.303313,4.672867,1.2953249,2.7070708,0
4.7253075,4.4792595,4.984791,3.9606771,6.459817,4.409828,6.3245573,4.679742,1.3233721,2.6572883,0
4.6996484,3.4342399,4.1230254,4.021005,6.3728595,3.3008966,3.907031,4.858868,5.2997794,1.9431175,1
4.72408,4.493754,5.037823,3.9123077,6.3984075,4.408194,6.3039136,4.672904,1.2938972,2.7095804,0
4.7244663,4.472108,4.969625,3.9728613,6.4731274,4.4092765,6.3259144,4.6805615,1.3315647,2.6413455,0
4.724168,4.4711347,4.968323,3.9736772,6.4736404,4.409031,6.3251686,4.6804233,1.3322449,2.6400046,0
4.7376404,4.492153,4.9705963,3.9862409,6.5097437,4.4209185,6.376295,4.692745,1.3329071,2.6394622,0
4.734645,4.530197,5.1018558,3.8654537,6.357467,4.4166512,6.32589,4.6756244,1.2583902,2.7774215,0
4.733884,4.5346613,5.120024,3.8495593,6.3370347,4.4157977,6.317395,4.673135,1.2488382,2.797067,0
4.7222214,4.4740224,4.984471,3.9580293,6.4517612,4.4071336,6.3127675,4.67697,1.3234458,2.6569703,0
4.7252445,4.479585,4.98591,3.9596324,6.458445,4.4097605,6.3239436,4.6795664,1.3227564,2.658508,0
4.699074,3.4338994,4.122896,4.0207086,6.371755,3.2963245,3.9064822,4.8578362,5.2976975,1.9430224,1
4.6987214,3.43368,4.122607,4.02083,6.371659,3.295849,3.906374,4.857604,5.296433,1.9429103,1
4.724308,4.4795127,4.989815,3.955336,6.451747,4.4089026,6.319056,4.678309,1.3206027,2.6627138,0
4.7252445,4.479585,4.98591,3.9596324,6.458445,4.4097605,6.3239436,4.6795664,1.3227564,2.658508,0
4.7371435,4.491062,4.969741,3.986539,6.5093255,4.420492,6.3746758,4.6923842,1.33336,2.6385865,0
4.6932197,3.4313903,4.1223297,4.0170827,6.358634,3.2589488,3.9002376,4.846677,5.270707,1.9427294,1
4.695515,3.432375,4.121252,4.0202637,6.367229,3.2882488,3.9041812,4.853533,5.280704,1.9425851,1
4.728305,4.476563,4.966719,3.9797592,6.4874325,4.4127245,6.34153,4.684488,1.3339016,2.6369357,0
4.7243204,4.4718866,4.9696693,3.972691,6.4726963,4.409148,6.3253427,4.6804247,1.3315372,2.64139,0
4.7239275,4.493193,5.036688,3.913165,6.399225,4.4080725,6.303647,4.672887,1.294519,2.7084882,0
4.724168,4.4711347,4.968323,3.9736772,6.4736404,4.409031,6.3251686,4.6804233,1.3322449,2.6400046,0
4.7253075,4.4792595,4.984791,3.9606771,6.459817,4.409828,6.3245573,4.679742,1.3233721,2.6572883,0
4.7252445,4.479585,4.98591,3.9596324,6.458445,4.4097605,6.3239436,4.6795664,1.3227564,2.658508,0
4.697049,3.433683,4.1267643,4.013869,6.3562517,3.2481062,3.9000378,4.8466773,5.284264,1.9442024,1
4.7337227,4.5340257,5.118918,3.850377,6.337779,4.4156694,6.3171144,4.6731052,1.2494448,2.7958362,0
4.7002325,3.4345574,4.122379,4.0224276,6.3761125,3.314298,3.9084468,4.8613973,5.301794,1.9430283,1
4.733884,4.5346613,5.120024,3.8495593,6.3370347,4.4157977,6.317395,4.673135,1.2488382,2.797067,0
4.7252445,4.479585,4.98591,3.9596324,6.458445,4.4097605,6.3239436,4.6795664,1.3227564,2.658508,0
4.6969523,3.432611,4.121588,4.0207987,6.3699327,3.2886393,3.9053533,4.8555965,5.2899075,1.9424717,1
4.704858,3.4372346,4.1245837,4.02312,6.381815,3.3363569,3.911585,4.8674026,5.3192477,1.9440174,1
4.720833,4.4758596,4.996111,3.9462957,6.435206,4.4057975,6.303735,4.674451,1.316911,2.6689901,0
4.737156,4.491101,4.9697895,3.9865055,6.509306,4.420503,6.374708,4.6923904,1.3333325,2.638639,0
4.6974745,3.432929,4.1220593,4.020576,6.370009,3.2889388,3.9054768,4.8558807,5.291927,1.9426352,1
4.697544,3.4329646,4.121874,4.020894,6.3706765,3.2916949,3.9057586,4.8563805,5.292128,1.9426013,1
4.7340612,4.535352,5.1212134,3.848681,6.336243,4.415938,6.3177123,4.673171,1.2481842,2.7983928,0
4.706234,3.438097,4.1238155,4.0253096,6.3874655,3.358935,3.9140935,4.8719234,5.3244495,1.943994,1
4.723732,4.492471,5.0352135,3.9142785,6.4002924,4.407918,6.303313,4.672867,1.2953249,2.7070708,0
4.7112,3.4509208,4.178517,3.9625087,6.2472105,3.0366127,3.862049,4.786459,5.2096257,1.962753,1
4.7252903,4.479651,4.9858794,3.9596996,6.458598,4.409801,6.3241305,4.679611,1.3227721,2.6584795,0
4.7337227,4.5340257,5.118918,3.850377,6.337779,4.4156694,6.3171144,4.6731052,1.2494448,2.7958362,0
4.724678,4.4706507,4.9657583,3.9766946,6.478073,4.4095273,6.327956,4.6812053,1.33391,2.6365998,0
4.7252445,4.479585,4.98591,3.9596324,6.458445,4.4097605,6.3239436,4.6795664,1.3227564,2.658508,0
4.7377214,4.4923286,4.9707255,3.9862022,6.5098243,4.420989,6.3765664,4.6928062,1.3328383,2.6395946,0
4.7244368,4.4790525,4.9880056,3.9570494,6.454037,4.4090343,6.320139,4.6786165,1.3215991,2.6607707,0
4.724308,4.4795127,4.989815,3.955336,6.451747,4.4089026,6.319056,4.678309,1.3206027,2.6627138,0
4.7046432,3.437282,4.1233616,4.024657,6.3846474,3.3494978,3.9127023,4.869338,5.317819,1.9437983,1
4.7251024,4.4792676,4.985705,3.9596882,6.4582925,4.4096394,6.323467,4.6794605,1.3228709,2.6582708,0
4.699466,3.4341307,4.1229057,4.021026,6.372729,3.3003733,3.9069445,4.858695,5.299108,1.9430689,1
4.7225275,4.488042,5.025585,3.921399,6.4071765,4.4069576,6.3013773,4.672772,1.3004321,2.6982353,0
4.723732,4.492471,5.0352135,3.9142785,6.4002924,4.407918,6.303313,4.672867,1.2953249,2.7070708,0
4.7265854,4.4746904,4.9685187,3.9762082,6.480456,4.411174,6.3344193,4.6826706,1.3325634,2.639298,0
4.723732,4.492471,5.0352135,3.9142785,6.4002924,4.407918,6.303313,4.672867,1.2953249,2.7070708,0
4.6997385,3.4342983,4.1231246,4.020937,6.372813,3.3007693,3.9070318,4.858879,5.3000884,1.9431541,1
4.7252445,4.479585,4.98591,3.9596324,6.458445,4.4097605,6.3239436,4.6795664,1.3227564,2.658508,0
4.7252445,4.479585,4.98591,3.9596324,6.458445,4.4097605,6.3239436,4.6795664,1.3227564,2.658508,0
4.6995997,3.4342139,4.123044,4.020937,6.372683,3.30021,3.906952,4.8587246,5.299587,1.9431183,1
4.7252626,4.479611,4.9858937,3.9596624,6.45851,4.4097767,6.324019,4.679584,1.3227646,2.6584945,0
4.725239,4.479771,4.986415,3.9591837,6.45789,4.409751,6.323758,4.679509,1.3224791,2.6590588,0
4.7252445,4.479585,4.98591,3.9596324,6.458445,4.4097605,6.3239436,4.6795664,1.3227564,2.658508,0
4.7057357,3.437786,4.124066,4.0245657,6.385503,3.3512347,3.9132202,4.8703494,5.322525,1.9439961,1
4.729474,4.477882,4.965594,3.9820766,6.4920597,4.413777,6.3463373,4.6857123,1.3347487,2.635451,0
4.7230816,4.469026,4.9680405,3.973092,6.471255,4.408088,6.3211803,4.679485,1.3324873,2.6391897,0
4.696556,3.4323876,4.121863,4.0200906,6.368221,3.281555,3.9045904,4.854216,5.288594,1.9424856,1
4.7244368,4.4790525,4.9880056,3.9570494,6.454037,4.4090343,6.320139,4.6786165,1.3215991,2.6607707,0
4.6993637,3.434065,4.122853,4.021014,6.3726106,3.2998266,3.9068763,4.8585625,5.2987523,1.9430428,1
4.703199,3.436337,4.1240716,4.0224876,6.3790197,3.3262188,3.9101713,4.8647637,5.3127327,1.9437587,1
4.7350206,4.5390453,5.127517,3.8440628,6.332088,4.4167004,6.319458,4.6733756,1.2447284,2.805427,0
4.724678,4.4706507,4.9657583,3.9766946,6.478073,4.4095273,6.327956,4.6812053,1.33391,2.6365998,0
4.723939,4.493235,5.036774,3.9131007,6.399164,4.408082,6.3036675,4.6728883,1.2944723,2.7085707,0
4.697065,3.4326823,4.121804,4.020595,6.369658,3.287488,3.9052608,4.8554516,5.290405,1.94253,1
4.724308,4.4795127,4.989815,3.955336,6.451747,4.4089026,6.319056,4.678309,1.3206027,2.6627138,0
4.7246237,4.4717174,4.967954,3.974444,6.4752707,4.4094367,6.327019,4.680882,1.3324829,2.6395812,0
4.7244663,4.472108,4.969625,3.9728613,6.4731274,4.4092765,6.3259144,4.6805615,1.3315647,2.6413455,0
4.7239275,4.493193,5.036688,3.913165,6.399225,4.4080725,6.303647,4.672887,1.294519,2.7084882,0
4.723732,4.492471,5.0352135,3.9142785,6.4002924,4.407918,6.303313,4.672867,1.2953249,2.7070708,0
4.7340612,4.535352,5.1212134,3.848681,6.336243,4.415938,6.3177123,4.673171,1.2481842,2.7983928,0
4.723732,4.492471,5.0352135,3.9142785,6.4002924,4.407918,6.303313,4.672867,1.2953249,2.7070708,0
4.705025,3.4374042,4.1242,4.0238147,6.3833275,3.3433547,3.9122322,4.868562,5.319579,1.9439775,1
4.6981125,3.433305,4.1222067,4.0208993,6.371223,3.2939324,3.9060812,4.857017,5.2942467,1.942741,1
4.6995997,3.4342139,4.123044,4.020937,6.372683,3.30021,3.906952,4.8587246,5.299587,1.9431183,1
4.706593,3.438287,4.1237245,4.025699,6.388577,3.3629453,3.9146037,4.872831,5.3258495,1.9440044,1
4.6983414,3.4347503,4.129313,4.011643,6.352837,3.2393293,3.8989642,4.8449726,5.285276,1.9451182,1
4.7156553,3.4550874,4.18573,3.955729,6.236365,3.0228462,3.8590915,4.78264,5.212753,1.9659369,1
4.7239275,4.493193,5.036688,3.913165,6.399225,4.4080725,6.303647,4.672887,1.294519,2.7084882,0
4.740013,4.49668,4.9730005,3.9865003,6.513739,4.4229784,6.384684,4.694673,1.3317729,2.6417272,0
4.734091,4.53546,5.121397,3.848546,6.336122,4.415961,6.3177648,4.673177,1.248083,2.798598,0
4.7016134,3.4354303,4.1240654,4.0211554,6.374983,3.3098652,3.9082606,4.8612504,5.3068767,1.9435943,1
4.7244368,4.4790525,4.9880056,3.9570494,6.454037,4.4090343,6.320139,4.6786165,1.3215991,2.6607707,0
4.7253075,4.4792595,4.984791,3.9606771,6.459817,4.409828,6.3245573,4.679742,1.3233721,2.6572883,0
4.7252445,4.479585,4.98591,3.9596324,6.458445,4.4097605,6.3239436,4.6795664,1.3227564,2.658508,0
4.725175,4.480035,4.9873824,3.9582748,6.456683,4.409685,6.323194,4.6793494,1.3219486,2.6601055,0
4.724678,4.4706507,4.9657583,3.9766946,6.478073,4.4095273,6.327956,4.6812053,1.33391,2.6365998,0
4.7253075,4.4792595,4.984791,3.9606771,6.459817,4.409828,6.3245573,4.679742,1.3233721,2.6572883,0
4.723732,4.492471,5.0352135,3.9142785,6.4002924,4.407918,6.303313,4.672867,1.2953249,2.7070708,0
4.6959257,3.4319754,4.1207485,4.0210943,6.3695197,3.2867374,3.905005,4.8548465,5.286006,1.9421664,1
4.7225275,4.488042,5.025585,3.921399,6.4071765,4.4069576,6.3013773,4.672772,1.3004321,2.6982353,0
4.6932025,3.4320185,4.125089,4.013752,6.3514647,3.2407205,3.897418,4.8419642,5.2646346,1.9437165,1
4.7050753,3.4374375,4.1241426,4.0239344,6.383614,3.3445005,3.9123554,4.8687816,5.319769,1.9439707,1
4.7252445,4.479585,4.98591,3.9596324,6.458445,4.4097605,6.3239436,4.6795664,1.3227564,2.658508,0
4.7252445,4.479585,4.98591,3.9596324,6.458445,4.4097605,6.3239436,4.6795664,1.3227564,2.658508,0
4.72408,4.493754,5.037823,3.9123077,6.3984075,4.408194,6.3039136,4.672904,1.2938972,2.7095804,0
4.701418,3.4352612,4.123137,4.022341,6.377071,3.3180485,3.909049,4.8625913,5.306277,1.9433306,1
4.6979213,3.4331865,4.121063,4.0223193,6.3737035,3.3046646,3.9070675,4.858702,5.2929616,1.9424889,1
4.725725,4.49972,5.0498605,3.903215,6.389757,4.4095006,6.3068337,4.673104,1.2872845,2.721176,0
4.739627,4.4962444,4.9733405,3.985714,6.5122037,4.42263,6.383031,4.69427,1.3315018,2.642207,0
4.6981745,3.4333434,4.1222234,4.0209284,6.371335,3.2944229,3.9061377,4.857125,5.294466,1.9427528,1
4.723732,4.492471,5.0352135,3.9142785,6.4002924,4.407918,6.303313,4.672867,1.2953249,2.7070708,0
4.7246065,4.471707,4.9679966,3.9743834,6.4751673,4.4094205,6.326935,4.6808605,1.3324546,2.639634,0
4.737156,4.491101,4.9697895,3.9865055,6.509306,4.420503,6.374708,4.6923904,1.3333325,2.638639,0
4.740283,4.565859,5.17212,3.806581,6.293485,4.4206185,6.324842,4.6729035,1.2179012,2.8609817,0
4.723732,4.492471,5.0352135,3.9142785,6.4002924,4.407918,6.303313,4.672867,1.2953249,2.7070708,0
4.7050223,3.4373956,4.1241775,4.0238433,6.3833814,3.3434794,3.912251,4.8685937,5.3195977,1.9439684,1
4.7333527,4.4836807,4.965532,3.986487,6.503373,4.4172087,6.361422,4.6893487,1.335392,2.634558,0
4.725175,4.480035,4.9873824,3.9582748,6.456683,4.409685,6.323194,4.6793494,1.3219486,2.6601055,0
4.725175,4.480035,4.9873824,3.9582748,6.456683,4.409685,6.323194,4.6793494,1.3219486,2.6601055,0
4.699324,3.434025,4.121882,4.0223575,6.3751116,3.3103886,3.9078848,4.8603044,5.298293,1.9428238,1
4.7252445,4.479585,4.98591,3.9596324,6.458445,4.4097605,6.3239436,4.6795664,1.3227564,2.658508,0
4.7253075,4.4792595,4.984791,3.9606771,6.459817,4.409828,6.3245573,4.679742,1.3233721,2.6572883,0
4.7222214,4.4740224,4.984471,3.9580293,6.4517612,4.4071336,6.3127675,4.67697,1.3234458,2.6569703,0
4.7022676,3.4357584,4.1232734,4.0228643,6.3788676,3.3254302,3.909928,4.8642244,5.309374,1.943455,1
4.698386,3.4334652,4.122111,4.021263,6.3721704,3.2979054,3.9065132,4.857806,5.2951927,1.9427521,1
4.7025356,3.436194,4.1230707,4.0233994,6.38012,3.3341181,3.9105406,4.865371,5.3090177,1.9435958,1
4.6976624,3.4330616,4.1225567,4.020014,6.369109,3.285341,3.9051585,4.855346,5.292595,1.942781,1
4.734665,4.530264,5.101955,3.8653827,6.357412,4.416668,6.325935,4.675632,1.2583346,2.7775345,0
4.699812,3.4343138,4.1222796,4.0222154,6.375311,3.3110623,3.9080472,4.860652,5.300238,1.9429605,1
4.7252445,4.479585,4.98591,3.9596324,6.458445,4.4097605,6.3239436,4.6795664,1.3227564,2.658508,0
4.7222776,4.4870214,5.0235047,3.9230323,6.408805,4.406763,6.3010244,4.672773,1.3015933,2.696192,0
4.731393,3.4710295,4.209256,3.9329457,6.204452,2.9803128,3.8509276,4.772552,5.2315054,1.9772093,1
