age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
6,Private,HS-grad,1,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,5,United-States,<=50K
7,Private,HS-grad,1,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,<=50K
1,Local-gov,Assoc-acdm,3,Never-married,Protective-serv,Not-in-family,White,Male,0,0,4,United-States,<=50K
0,Private,Some-college,2,Never-married,Sales,Own-child,Black,Male,0,0,3,United-States,<=50K
7,Private,Bachelors,4,Divorced,Exec-managerial,Own-child,White,Male,0,0,2,United-States,<=50K
4,Federal-gov,Some-college,2,Married-civ-spouse,Adm-clerical,Own-child,White,Male,0,0,2,United-States,<=50K
1,State-gov,Some-college,2,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,0,United-States,<=50K
7,Private,11th,0,Never-married,Machine-op-inspct,Unmarried,White,Male,0,0,2,Puerto-Rico,<=50K
0,Private,Some-college,2,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,2,United-States,<=50K
0,Private,HS-grad,1,Married-AF-spouse,Adm-clerical,Wife,White,Female,0,0,0,United-States,<=50K
5,Private,Some-college,2,Married-civ-spouse,Sales,Husband,White,Male,0,0,1,missing,>50K
7,Self-emp-not-inc,Assoc-acdm,3,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,United-States,<=50K
5,Private,9th,0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,3,United-States,<=50K
7,Self-emp-not-inc,Bachelors,4,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,United-States,<=50K
2,Private,Bachelors,4,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,4,United-States,<=50K
7,Private,HS-grad,1,Separated,Adm-clerical,Unmarried,White,Female,0,0,2,United-States,<=50K
3,Private,HS-grad,1,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,1,United-States,<=50K
8,Federal-gov,Bachelors,4,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,2,United-States,>50K
7,Private,HS-grad,1,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,1,United-States,<=50K
7,Private,Masters,5,Divorced,Exec-managerial,Unmarried,White,Female,0,0,2,United-States,<=50K
6,State-gov,Assoc-voc,3,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,<=50K
4,Private,Assoc-voc,3,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,3,United-States,<=50K
3,Private,Some-college,2,Married-civ-spouse,Exec-managerial,Wife,Other,Female,0,0,2,United-States,<=50K
0,Private,HS-grad,1,Never-married,Other-service,Own-child,White,Female,0,0,0,missing,<=50K
7,Private,Prof-school,6,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,8,4,Honduras,>50K
7,Federal-gov,Bachelors,4,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,4,United-States,>50K
7,Self-emp-inc,HS-grad,1,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,4,United-States,<=50K
7,Private,Some-college,2,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,2,United-States,>50K
7,Private,5th-6th,0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,2,Mexico,<=50K
5,Private,Assoc-voc,3,Married-civ-spouse,Other-service,Husband,White,Male,0,0,2,Puerto-Rico,<=50K
6,Private,HS-grad,1,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,3,United-States,<=50K
4,Private,HS-grad,1,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,9,0,2,United-States,<=50K
4,Private,Bachelors,4,Married-civ-spouse,Sales,Husband,White,Male,1,0,2,United-States,<=50K
5,missing,7th-8th,0,Married-spouse-absent,missing,Not-in-family,White,Male,0,0,2,missing,<=50K
7,Private,HS-grad,1,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,2,United-States,<=50K
7,Private,Doctorate,6,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,3,United-States,>50K
4,Private,Some-college,2,Divorced,Tech-support,Not-in-family,White,Male,0,0,4,United-States,<=50K
6,Private,HS-grad,1,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,<=50K
4,Private,Some-college,2,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,2,United-States,<=50K
7,Private,HS-grad,1,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,2,United-States,>50K
7,Self-emp-inc,Some-college,2,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,4,United-States,>50K
3,missing,Some-college,2,Never-married,missing,Own-child,White,Male,0,0,2,United-States,<=50K
0,Private,Some-college,2,Never-married,Prof-specialty,Own-child,White,Male,0,0,0,United-States,<=50K
5,Private,Bachelors,4,Separated,Sales,Own-child,Black,Female,0,0,2,United-States,<=50K
4,Self-emp-not-inc,Bachelors,4,Married-civ-spouse,Sales,Husband,White,Male,0,0,5,United-States,>50K
1,Private,Some-college,2,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,2,United-States,<=50K
10,Private,Some-college,2,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,0,0,0,United-States,<=50K
3,Private,HS-grad,1,Never-married,Other-service,Own-child,White,Male,0,0,2,Mexico,<=50K
6,Private,Assoc-acdm,3,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,2,United-States,<=50K
9,missing,10th,0,Married-civ-spouse,missing,Husband,White,Male,0,0,0,United-States,<=50K
0,Private,11th,0,Never-married,Other-service,Own-child,White,Female,0,0,0,United-States,<=50K
5,Local-gov,7th-8th,0,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,2,United-States,<=50K
0,Private,HS-grad,1,Never-married,Sales,Not-in-family,White,Male,0,0,0,United-States,<=50K
7,Private,Bachelors,4,Married-civ-spouse,Other-service,Husband,White,Male,0,0,2,Cuba,<=50K
7,Private,HS-grad,1,Married-civ-spouse,Other-service,Wife,White,Female,0,0,2,United-States,<=50K
8,Private,HS-grad,1,Married-civ-spouse,Sales,Husband,White,Male,0,0,3,United-States,<=50K
7,Private,HS-grad,1,Divorced,Craft-repair,Not-in-family,White,Female,18,0,2,United-States,>50K
7,Private,HS-grad,1,Divorced,Sales,Own-child,White,Female,0,0,1,United-States,<=50K
7,Local-gov,HS-grad,1,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,2,United-States,>50K
5,Private,Masters,5,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,4,United-States,<=50K
4,Private,9th,0,Never-married,Sales,Not-in-family,White,Male,0,0,2,United-States,<=50K
7,Federal-gov,Doctorate,6,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,4,United-States,>50K
8,Private,Assoc-voc,3,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,United-States,<=50K
6,Private,Some-college,2,Divorced,Craft-repair,Unmarried,White,Female,0,0,2,United-States,<=50K
4,Private,Some-college,2,Divorced,Machine-op-inspct,Unmarried,Black,Female,0,0,0,United-States,<=50K
4,Private,HS-grad,1,Married-civ-spouse,Sales,Wife,Asian-Pac-Islander,Female,0,2,1,missing,<=50K
5,Local-gov,Bachelors,4,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,2,United-States,>50K
4,Local-gov,Some-college,2,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,4,United-States,<=50K
7,Self-emp-not-inc,Doctorate,6,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,8,4,United-States,>50K
6,Private,Some-college,2,Married-civ-spouse,Sales,Husband,White,Male,0,0,3,United-States,>50K
7,Private,Assoc-acdm,3,Divorced,Exec-managerial,Unmarried,White,Female,0,0,2,England,<=50K
5,Federal-gov,HS-grad,1,Never-married,Other-service,Own-child,Black,Male,0,0,2,United-States,<=50K
10,Private,Masters,5,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,2,United-States,>50K
7,Private,Bachelors,4,Married-civ-spouse,Exec-managerial,Husband,White,Male,18,0,4,United-States,>50K
7,Self-emp-not-inc,Masters,5,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,4,United-States,<=50K
0,Private,Some-college,2,Never-married,Tech-support,Own-child,White,Female,0,0,2,United-States,<=50K
4,Private,HS-grad,1,Never-married,Craft-repair,Not-in-family,White,Male,0,0,2,United-States,<=50K
5,Self-emp-inc,HS-grad,1,Married-civ-spouse,Craft-repair,Husband,White,Male,18,0,2,United-States,>50K
0,missing,10th,0,Never-married,missing,Own-child,White,Female,18,0,0,United-States,<=50K
4,Private,11th,0,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,2,United-States,<=50K
5,Local-gov,HS-grad,1,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,2,United-States,<=50K
7,Private,HS-grad,1,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,2,United-States,<=50K
2,Private,Bachelors,4,Never-married,Sales,Other-relative,White,Male,0,0,2,United-States,<=50K
6,Private,Prof-school,6,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,United-States,>50K
8,Self-emp-not-inc,HS-grad,1,Married-civ-spouse,Other-service,Husband,White,Male,0,7,4,Canada,>50K
4,Private,Some-college,2,Married-civ-spouse,Sales,Wife,White,Female,3,0,0,United-States,<=50K
6,Private,HS-grad,1,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,2,United-States,<=50K
7,Private,9th,0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,4,United-States,<=50K
8,Self-emp-inc,Some-college,2,Married-civ-spouse,Sales,Husband,White,Male,0,0,4,United-States,<=50K
7,Local-gov,Assoc-voc,3,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,2,United-States,>50K
8,Private,Some-college,2,Married-civ-spouse,Sales,Husband,White,Male,0,0,4,United-States,<=50K
1,Private,HS-grad,1,Never-married,Craft-repair,Not-in-family,White,Male,0,0,2,United-States,<=50K
0,Private,Some-college,2,Never-married,Other-service,Own-child,White,Female,0,0,2,United-States,<=50K
6,Private,Bachelors,4,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,4,United-States,<=50K
4,Private,Bachelors,4,Never-married,Exec-managerial,Own-child,Black,Male,0,0,2,Germany,<=50K
4,State-gov,Bachelors,4,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,4,United-States,>50K
0,Private,Some-college,2,Never-married,Other-service,Own-child,Black,Male,0,0,1,United-States,<=50K
7,Private,Bachelors,4,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,2,United-States,>50K
0,Private,Some-college,2,Never-married,Adm-clerical,Own-child,White,Female,0,2,0,United-States,<=50K
5,Private,Assoc-acdm,3,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,2,United-States,>50K
5,missing,HS-grad,1,Married-civ-spouse,missing,Husband,White,Male,0,0,2,United-States,<=50K
6,Private,Some-college,2,Divorced,Craft-repair,Not-in-family,White,Male,0,0,2,United-States,<=50K
4,Private,Assoc-acdm,3,Never-married,Sales,Not-in-family,White,Female,0,0,4,United-States,<=50K
2,Private,HS-grad,1,Never-married,Other-service,Not-in-family,White,Female,0,2,2,United-States,<=50K
6,Self-emp-not-inc,HS-grad,1,Married-civ-spouse,Craft-repair,Husband,White,Male,4,0,1,United-States,<=50K
6,Private,Bachelors,4,Married-civ-spouse,Sales,Husband,White,Male,0,0,4,United-States,<=50K
7,Private,Assoc-acdm,3,Divorced,Tech-support,Not-in-family,Black,Female,0,0,1,United-States,<=50K
6,Federal-gov,Masters,5,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,Iran,>50K
7,Self-emp-not-inc,HS-grad,1,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,4,United-States,<=50K
3,Private,Assoc-voc,3,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,1,United-States,<=50K
0,Private,Some-college,2,Never-married,Sales,Own-child,White,Male,0,0,0,United-States,<=50K
7,Private,Some-college,2,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,2,United-States,>50K
8,Self-emp-inc,HS-grad,1,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,<=50K
3,Private,Some-college,2,Never-married,Sales,Own-child,White,Female,0,0,2,United-States,<=50K
0,Private,Some-college,2,Never-married,Other-service,Own-child,White,Male,0,0,0,Mexico,<=50K
7,Private,Assoc-voc,3,Never-married,Prof-specialty,Not-in-family,White,Female,0,1,2,United-States,>50K
10,Private,Some-college,2,Never-married,Tech-support,Other-relative,White,Male,0,0,2,United-States,<=50K
5,Private,HS-grad,1,Never-married,Transport-moving,Unmarried,Black,Female,0,0,0,United-States,<=50K
1,Private,Some-college,2,Married-civ-spouse,Other-service,Husband,White,Male,0,0,0,United-States,<=50K
6,Private,HS-grad,1,Widowed,Other-service,Unmarried,White,Female,0,0,0,United-States,<=50K
9,Private,11th,0,Married-civ-spouse,Craft-repair,Husband,White,Male,0,13,2,United-States,<=50K
7,missing,Some-college,2,Divorced,missing,Not-in-family,White,Female,0,0,2,United-States,<=50K
7,Local-gov,Some-college,2,Divorced,Adm-clerical,Unmarried,White,Female,0,0,1,Mexico,<=50K
5,Private,HS-grad,1,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,2,United-States,<=50K
5,Private,Bachelors,4,Never-married,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,0,0,2,Philippines,<=50K
0,Private,HS-grad,1,Never-married,Craft-repair,Own-child,White,Male,0,0,1,United-States,<=50K
7,missing,HS-grad,1,Divorced,missing,Not-in-family,White,Male,0,0,3,United-States,>50K
7,Private,HS-grad,1,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,3,United-States,<=50K
1,Private,Bachelors,4,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,2,United-States,<=50K
10,Self-emp-not-inc,Some-college,2,Separated,Sales,Unmarried,Black,Male,0,2,0,United-States,<=50K
4,Private,HS-grad,1,Divorced,Craft-repair,Not-in-family,White,Male,0,0,4,United-States,<=50K
7,Private,Bachelors,4,Separated,Other-service,Other-relative,Black,Male,0,0,4,United-States,<=50K
10,missing,1st-4th,0,Divorced,missing,Not-in-family,White,Female,0,0,0,United-States,<=50K
3,Private,HS-grad,1,Never-married,Other-service,Unmarried,White,Female,0,0,2,United-States,<=50K
7,Self-emp-inc,Masters,5,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,0,0,2,United-States,<=50K
4,Private,HS-grad,1,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,0,0,2,England,<=50K
7,Self-emp-not-inc,Masters,5,Married-civ-spouse,Sales,Husband,White,Male,0,0,2,United-States,>50K
6,Private,Some-college,2,Divorced,Other-service,Unmarried,White,Female,0,0,2,Mexico,<=50K
6,Federal-gov,Assoc-acdm,3,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,3,United-States,<=50K
7,State-gov,Masters,5,Widowed,Protective-serv,Unmarried,White,Male,0,0,2,United-States,<=50K
0,Private,11th,0,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,0,United-States,<=50K
9,Local-gov,Assoc-voc,3,Widowed,Prof-specialty,Not-in-family,White,Female,0,0,0,United-States,<=50K
3,Private,HS-grad,1,Never-married,Other-service,Not-in-family,White,Male,0,11,2,United-States,<=50K
4,State-gov,HS-grad,1,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,2,United-States,<=50K
7,Private,Some-college,2,Married-civ-spouse,Sales,Husband,White,Male,0,10,2,United-States,>50K
3,Private,Bachelors,4,Never-married,Craft-repair,Not-in-family,White,Male,0,0,4,United-States,<=50K
4,State-gov,Bachelors,4,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,United-States,>50K
3,Private,HS-grad,1,Married-spouse-absent,Sales,Unmarried,White,Female,0,0,0,United-States,<=50K
0,Private,HS-grad,1,Never-married,Craft-repair,Own-child,Black,Male,0,0,2,United-States,<=50K
5,Private,HS-grad,1,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0,0,2,United-States,<=50K
0,Private,HS-grad,1,Never-married,Other-service,Own-child,White,Male,0,0,0,United-States,<=50K
5,Private,Bachelors,4,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,5,United-States,<=50K
7,Local-gov,Some-college,2,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,1,United-States,>50K
7,Private,Some-college,2,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,2,United-States,<=50K
4,Private,Some-college,2,Never-married,Craft-repair,Not-in-family,Black,Male,0,0,3,United-States,<=50K
6,Private,7th-8th,0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,2,Mexico,>50K
6,Federal-gov,Some-college,2,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,3,United-States,>50K
5,Private,HS-grad,1,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,2,United-States,<=50K
6,Self-emp-not-inc,Bachelors,4,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,2,United-States,<=50K
7,missing,Bachelors,4,Divorced,missing,Not-in-family,White,Female,0,0,4,United-States,<=50K
5,Private,Masters,5,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,4,United-States,<=50K
8,State-gov,Doctorate,6,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,0,United-States,>50K
6,Private,Some-college,2,Divorced,Machine-op-inspct,Not-in-family,Black,Female,0,0,0,United-States,<=50K
2,Private,Some-college,2,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,2,United-States,<=50K
6,Local-gov,Bachelors,4,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,2,United-States,<=50K
7,Private,Some-college,2,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,3,United-States,<=50K
6,Federal-gov,Bachelors,4,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,0,United-States,<=50K
1,Private,5th-6th,0,Married-civ-spouse,Transport-moving,Other-relative,White,Male,0,0,2,Mexico,<=50K
6,Private,Some-college,2,Divorced,Craft-repair,Not-in-family,White,Male,0,0,2,United-States,<=50K
6,Federal-gov,Masters,5,Never-married,Exec-managerial,Not-in-family,White,Female,18,0,4,United-States,>50K
5,Private,Masters,5,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,18,0,2,United-States,>50K
2,Self-emp-not-inc,HS-grad,1,Never-married,Sales,Not-in-family,White,Male,0,0,2,United-States,<=50K
3,Private,Masters,5,Never-married,Prof-specialty,Not-in-family,White,Female,0,6,2,United-States,<=50K
0,missing,HS-grad,1,Never-married,missing,Own-child,White,Male,0,0,2,Italy,<=50K
7,Private,Bachelors,4,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,4,United-States,>50K
7,Local-gov,Some-college,2,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,2,United-States,<=50K
6,State-gov,HS-grad,1,Divorced,Adm-clerical,Unmarried,White,Female,0,0,1,United-States,<=50K
0,Private,11th,0,Never-married,Sales,Own-child,White,Female,0,0,2,United-States,<=50K
6,Private,Bachelors,4,Married-civ-spouse,Other-service,Husband,Black,Male,18,0,1,United-States,>50K
5,Private,HS-grad,1,Divorced,Craft-repair,Not-in-family,White,Male,0,0,4,United-States,<=50K
8,Self-emp-inc,HS-grad,1,Married-civ-spouse,Sales,Wife,White,Female,18,0,1,United-States,>50K
0,Private,11th,0,Never-married,Sales,Own-child,White,Female,0,0,0,United-States,<=50K
7,Local-gov,HS-grad,1,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,2,United-States,<=50K
6,Private,HS-grad,1,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,>50K
5,Private,Some-college,2,Never-married,Sales,Not-in-family,Amer-Indian-Eskimo,Female,0,0,2,United-States,<=50K
8,Private,HS-grad,1,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,2,United-States,<=50K
7,Self-emp-inc,7th-8th,0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,2,United-States,>50K
6,Private,Bachelors,4,Never-married,Exec-managerial,Not-in-family,Black,Male,0,0,4,United-States,>50K
7,Private,Assoc-acdm,3,Divorced,Sales,Not-in-family,White,Female,0,0,2,United-States,<=50K
6,Private,Bachelors,4,Married-civ-spouse,Sales,Husband,White,Male,0,0,4,Poland,<=50K
7,Private,Bachelors,4,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,4,United-States,<=50K
3,Private,10th,0,Never-married,Craft-repair,Not-in-family,White,Male,0,0,2,United-States,<=50K
5,Private,Some-college,2,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,2,United-States,<=50K
9,missing,1st-4th,0,Divorced,missing,Not-in-family,White,Male,0,0,2,United-States,<=50K
10,Private,HS-grad,1,Never-married,Other-service,Not-in-family,Black,Male,0,13,2,United-States,<=50K
7,Private,HS-grad,1,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,0,United-States,<=50K
7,Local-gov,Preschool,0,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,1,United-States,<=50K
0,Private,HS-grad,1,Never-married,Sales,Own-child,White,Female,0,0,2,United-States,<=50K
8,missing,10th,0,Divorced,missing,Not-in-family,Amer-Indian-Eskimo,Female,0,0,0,United-States,<=50K
9,Self-emp-not-inc,HS-grad,1,Married-civ-spouse,Farming-fishing,Husband,White,Male,1,0,4,United-States,<=50K
10,Private,Assoc-voc,3,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,0,Columbia,<=50K
9,Private,HS-grad,1,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,2,United-States,<=50K
5,Private,11th,0,Separated,Transport-moving,Not-in-family,Black,Male,3,0,2,United-States,<=50K
6,Private,HS-grad,1,Divorced,Sales,Unmarried,Black,Female,0,0,1,United-States,<=50K
3,Private,Some-college,2,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,3,United-States,<=50K
5,Private,Some-college,2,Divorced,Craft-repair,Other-relative,Other,Female,0,0,2,United-States,<=50K
4,Private,Prof-school,6,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,4,United-States,>50K
8,State-gov,HS-grad,1,Married-civ-spouse,Other-service,Husband,White,Male,0,0,2,United-States,<=50K
6,State-gov,Some-college,2,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,1,United-States,<=50K
6,Private,Bachelors,4,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,4,Iran,>50K
6,Local-gov,Masters,5,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,5,United-States,>50K
1,Private,HS-grad,1,Never-married,Transport-moving,Own-child,White,Male,0,0,2,United-States,<=50K
6,Private,Bachelors,4,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,United-States,>50K
6,Self-emp-not-inc,HS-grad,1,Married-civ-spouse,Other-service,Wife,White,Female,0,0,0,United-States,<=50K
2,State-gov,Assoc-acdm,3,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,4,United-States,<=50K
0,missing,Some-college,2,Never-married,missing,Own-child,White,Male,0,0,0,United-States,<=50K
6,Private,Some-college,2,Divorced,Craft-repair,Not-in-family,White,Male,0,2,2,United-States,<=50K
8,Private,HS-grad,1,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,1,missing,<=50K
8,Private,HS-grad,1,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,3,United-States,>50K
5,Private,HS-grad,1,Never-married,Other-service,Not-in-family,White,Female,0,0,0,United-States,<=50K
6,Private,Assoc-acdm,3,Married-civ-spouse,Tech-support,Husband,White,Male,0,10,4,United-States,>50K
7,Private,HS-grad,1,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,2,missing,<=50K
6,Private,Prof-school,6,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,2,United-States,>50K
7,Private,Bachelors,4,Married-civ-spouse,Adm-clerical,Wife,Black,Female,0,0,2,United-States,<=50K
8,Local-gov,10th,0,Widowed,Other-service,Unmarried,Black,Female,0,0,0,United-States,<=50K
0,Local-gov,Some-college,2,Never-married,Adm-clerical,Own-child,White,Male,0,0,2,United-States,<=50K
8,Private,Some-college,2,Never-married,Transport-moving,Not-in-family,White,Male,0,0,0,United-States,<=50K
7,Self-emp-not-inc,HS-grad,1,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,0,0,2,Cambodia,>50K
0,Private,HS-grad,1,Never-married,Other-service,Own-child,White,Female,0,0,2,United-States,<=50K
5,Private,HS-grad,1,Separated,Other-service,Not-in-family,White,Female,0,0,0,United-States,<=50K
