time,a1,a2,a3,a4,a5,a6,a7,a8,class
1.8547212,3.8358023,2.241237,7.037643,6.5847964,5.546132,5.354239,1.6100607,0.272068,0
2.4160936,4.0438886,3.598653,7.180368,6.922087,4.8939238,5.7012963,1.7211847,0.25531772,0
1.8480386,3.8469582,2.230199,7.0415254,6.5851617,5.65174,5.3548975,1.6075323,0.270364,0
6.2946463,3.5668337,4.655397,6.162463,2.1622157,4.470349,0.3883703,5.615676,6.240275,4
4.137446,3.886811,1.8766091,6.206689,4.3122654,4.1938925,2.2018476,3.1914728,3.4635186,3
1.85731,3.831865,2.246722,7.037007,6.5853367,5.522047,5.3545785,1.6106625,0.27250248,0
2.0921838,4.087819,6.024442,6.950246,6.013575,4.5110607,7.308382,3.522844,0.50809926,0
1.8495024,3.8433971,2.2314298,7.0397863,6.5845942,5.609999,5.35425,1.6084635,0.27090633,0
1.8476282,3.8473215,2.2291949,7.0415015,6.584946,5.653876,5.354755,1.6074994,0.27033356,0
2.0889733,4.0352817,6.0659523,6.948873,6.007779,4.6310587,7.3363504,3.5494702,0.50953597,0
2.1269834,3.8090923,2.9204874,7.102064,6.755014,5.071364,5.516737,1.6639924,0.26940948,0
1.9302838,3.8134506,2.4291785,7.055373,6.6336856,5.411741,5.3921757,1.6158619,0.27287596,0
4.080229,3.8235574,2.0014095,6.1683817,4.3967395,4.134941,2.3531232,3.0852506,3.2522943,3
1.9689655,3.9871073,2.4885104,7.050911,6.632139,4.8525577,5.396666,1.6288297,0.27994964,0
1.8479756,3.847209,2.2301166,7.0415907,6.5851765,5.6531854,5.354914,1.6074948,0.2703451,0
4.21075,3.9554405,1.73431,6.239094,4.114601,4.2668133,2.0011349,3.4089277,3.845681,3
1.8536019,3.8354652,2.2380369,7.0371313,6.583865,5.5451236,5.3535767,1.6101844,0.27210647,0
6.355559,3.5855935,4.7111335,6.1959724,2.247438,4.4940705,0.3867511,5.629207,6.239786,4
1.854534,3.835997,2.2408075,7.037657,6.5847282,5.547408,5.3541946,1.6100335,0.27204496,0
1.8547574,3.8356657,2.2412755,7.0376,6.584773,5.545276,5.354221,1.6100867,0.27208355,0
1.8464094,3.8564935,2.225387,7.041668,6.5843086,5.6532183,5.3541236,1.6071658,0.27032217,0
2.10389,4.0816116,2.8337796,7.0981207,6.726627,4.746212,5.4843645,1.6502154,0.2759753,0
1.8465844,3.8495011,2.2270653,7.0418534,6.58468,5.665977,5.354617,1.6072195,0.27017158,0
1.9773746,3.973337,6.859673,6.9204397,5.82332,5.0412235,7.872994,4.0483174,0.54998475,0
1.8487136,3.8453894,2.2309427,7.0408516,6.585001,5.634943,5.3546867,1.6079059,0.27058128,0
6.3960643,3.4584234,4.9607882,6.0915313,3.1021621,4.4012294,0.33479849,4.8805194,5.608522,4
1.8568088,3.8320844,2.2454152,7.0369024,6.585029,5.5233707,5.354361,1.6106558,0.27248535,0
-0.032781594,-0.012478856,1.5083662,1.7479143,1.1181093,1.5400581,2.0059667,0.6911573,0.21733226,6
2.4397905,3.869674,3.975325,7.178203,6.8595605,5.1188846,5.847247,1.8914554,0.26768947,0
4.226276,3.974879,1.7142736,6.24047,4.0526457,4.282298,1.9560152,3.4754076,3.957702,3
2.1705785,3.8106043,3.0388722,7.1182027,6.7877216,5.126384,5.554197,1.6751211,0.2651966,0
1.8465052,3.861904,2.2243352,7.041341,6.5839887,5.637769,5.353678,1.6072235,0.2705104,0
1.8567017,3.8329473,2.2454176,7.037161,6.585207,5.527604,5.3544936,1.6105168,0.27240258,0
1.85731,3.831865,2.246722,7.037007,6.5853367,5.522047,5.3545785,1.6106625,0.27250248,0
2.3963401,4.1365333,3.5196333,7.1688795,6.896394,4.607658,5.6709704,1.715481,0.26340228,0
3.9292834,3.718383,2.469675,6.106456,4.6659856,3.9693232,2.8773324,2.6977243,2.4682114,3
7.3841605,3.7348773,6.370137,6.507732,5.461368,4.6532207,0.2337892,4.0227566,4.573747,4
1.8497401,3.8433132,2.2319887,7.0397944,6.584698,5.60862,5.354318,1.6084847,0.27093136,0
2.034107,3.9857497,2.662201,7.0749683,6.6818633,4.867169,5.4385996,1.63446,0.2772541,0
4.219057,3.9651217,1.7211456,6.2401447,4.0846443,4.2752876,1.9754047,3.4404795,3.9008172,3
1.8468336,3.8491375,2.2276616,7.0418444,6.5847974,5.664416,5.3546934,1.6072512,0.27019343,0
1.8542656,3.836281,2.2401886,7.037675,6.58463,5.5492086,5.3541274,1.6099949,0.2720127,0
1.8460443,3.8560872,2.2244804,7.041566,6.5840716,5.6545324,5.3539743,1.6071835,0.27030337,0
2.0413678,4.061855,2.6753032,7.0798984,6.6855536,4.813595,5.441494,1.6336851,0.2778193,0
3.888514,3.6658478,3.766587,6.1877747,5.2275186,3.9029799,4.1284575,2.27532,1.2841587,3
6.314385,3.5248277,4.7483654,6.1278944,2.450097,4.4395933,0.36995843,5.3713107,6.027285,4
1.8932067,3.8202422,2.3364396,7.0455365,6.6087093,5.4606166,5.3726754,1.6132975,0.2728604,0
1.8547688,3.8335054,2.240379,7.0367336,6.584007,5.5325375,5.35365,1.6105072,0.2723412,0
1.8572283,3.901247,2.248364,7.045165,6.5903087,5.584087,5.3571615,1.606003,0.27150753,0
1.8487254,3.8453684,2.2309563,7.040841,6.584998,5.634667,5.354683,1.6079116,0.27058476,0
1.8950049,3.819778,2.3409207,7.045987,6.6099005,5.4579463,5.373607,1.6134348,0.27286664,0
3.888514,3.6658478,3.766587,6.1877747,5.2275186,3.9029799,4.1284575,2.27532,1.2841587,3
1.8492173,3.8441482,2.2312737,7.04019,6.5847616,5.6192546,5.354422,1.608253,0.27078283,0
4.0712714,3.8203158,2.0293615,6.1640043,4.4085503,4.125561,2.385253,3.075305,3.2216637,3
4.0930195,3.836614,1.9722316,6.176135,4.3794937,4.147939,2.3180058,3.1066637,3.2988896,3
1.9159577,3.8145113,2.3934932,7.051532,6.6240673,5.431766,5.3847,1.6149178,0.2728435,0
2.1735406,3.8106232,3.046106,7.1190557,6.78952,5.129946,5.5560703,1.6756196,0.26503068,0
1.84673,3.8510616,2.2274292,7.042034,6.5848503,5.666287,5.354709,1.6071298,0.27016717,0
2.1206174,3.8089042,2.9033318,7.099816,6.7503314,5.065834,5.511321,1.6623127,0.27000505,0
1.8490143,3.8445365,2.2310474,7.040383,6.5848055,5.6242337,5.3544836,1.6081462,0.27071846,0
1.8487254,3.8453684,2.2309563,7.040841,6.584998,5.634667,5.354683,1.6079116,0.27058476,0
2.1282523,4.2064033,5.824744,6.962635,6.066535,4.3675013,7.16638,3.388565,0.49809206,0
1.8494916,3.8434606,2.231454,7.0398273,6.5846286,5.6107135,5.354277,1.6084428,0.27089316,0
3.8881774,3.668012,4.156421,6.2279253,5.423954,3.9136605,4.528089,2.2520301,1.0279794,3
2.4398777,3.8703048,3.9765267,7.1781125,6.8591833,5.1185107,5.8478975,1.8925526,0.26789495,0
1.8490248,3.8445048,2.2310512,7.0403666,6.584798,5.6238465,5.3544755,1.6081548,0.27072346,0
2.10389,4.0816116,2.8337796,7.0981207,6.726627,4.746212,5.4843645,1.6502154,0.2759753,0
1.6057593,3.9788866,1.5863156,6.9325128,6.374805,4.779852,5.191086,1.6234729,0.2839076,0
1.8550339,3.8340862,2.2413454,7.037051,6.584401,5.5356426,5.353938,1.6103833,0.2722711,0
4.219057,3.9651217,1.7211456,6.2401447,4.0846443,4.2752876,1.9754047,3.4404795,3.9008172,3
2.0990992,4.0812693,2.8224847,7.0968866,6.7236094,4.747471,5.480799,1.648709,0.27614626,0
1.8478882,3.8473904,2.2299407,7.041621,6.585155,5.654235,5.354903,1.607471,0.27033108,0
1.8572925,3.8327067,2.2469633,7.0372906,6.585579,5.526127,5.354751,1.6105204,0.27242854,0
1.8498456,3.84263,2.231686,7.039341,6.5843115,5.600817,5.3540254,1.6087105,0.27107483,0
1.84778,3.8478482,2.2298102,7.041742,6.585186,5.65687,5.354936,1.6074026,0.27029672,0
6.3283777,3.5914373,4.6584044,6.194914,2.1264863,4.4952064,0.3932662,5.698316,6.3064346,4
6.3407807,3.602714,4.6442437,6.209535,2.088045,4.5068526,0.39689314,5.7521434,6.348785,4
3.8881478,3.668189,4.205406,6.231018,5.449865,3.914061,4.57935,2.2453835,0.99692476,3
1.8524177,3.8318467,2.2332873,7.035299,6.5817404,5.525251,5.352017,1.6109357,0.27254343,0
4.1329784,3.8823526,1.8864201,6.2040157,4.3207655,4.1893234,2.213741,3.18126,3.4443996,3
1.925811,3.9566836,7.273848,6.904605,5.734278,5.2421346,8.1617,4.29345,0.56709135,0
1.8478079,3.8481526,2.230001,7.0418577,6.5852804,5.658626,5.3550105,1.6073499,0.27027467,0
1.9289286,3.8135545,2.4258592,7.0550528,6.63282,5.4143925,5.3915043,1.6157558,0.27285826,0
1.8547376,3.8356943,2.2412348,7.037605,6.5847697,5.5454664,5.354219,1.6100821,0.27208015,0
1.8502121,3.8423584,2.232433,7.0392594,6.5843825,5.597214,5.3540645,1.6087883,0.2711406,0
1.8460382,3.85604,2.2244759,7.0415673,6.5840693,5.6546745,5.3539743,1.6071827,0.27030155,0
1.8572124,3.8999033,2.2485466,7.0451875,6.5903893,5.586148,5.357249,1.6060095,0.27146608,0
2.2037287,3.928175,5.634793,6.981918,6.1713715,5.205657,7.0195107,3.2463899,0.47909182,0
2.14724,3.8102763,2.9750376,7.109269,6.7699323,5.0891194,5.533965,1.6693077,0.2675186,0
1.8462797,3.8557086,2.2252269,7.0416784,6.5842724,5.655587,5.354131,1.6071632,0.27029246,0
4.165716,3.9129443,1.8127098,6.2228785,4.251758,4.2220383,2.1252139,3.2623465,3.589414,3
1.8551081,3.8871367,2.245191,7.044916,6.5899014,5.6104946,5.35723,1.6060967,0.2709874,0
1.8567101,3.8974268,2.247636,7.0451016,6.5902233,5.590922,5.3571954,1.6060319,0.2713724,0
3.8855095,3.6716008,4.3637385,6.2384396,5.5323477,3.9124784,4.74622,2.2258031,0.9256133,3
1.8545238,3.8360393,2.2407963,7.03767,6.584736,5.547658,5.3542,1.6100259,0.27204046,0
1.8462833,3.855602,2.225264,7.041688,6.584284,5.6559014,5.354144,1.6071613,0.27028874,0
1.6053381,3.9791825,1.5855552,6.932509,6.374657,4.780197,5.190932,1.6234512,0.28388196,0
1.8550702,3.833184,2.2410638,7.036705,6.58411,5.5303793,5.3537183,1.6105542,0.27237913,0
1.977684,3.9733062,6.857276,6.9205284,5.823855,5.0402236,7.871386,4.0468507,0.54987,0
1.9157414,3.814521,2.3929582,7.051475,6.6239247,5.432119,5.3845887,1.6149025,0.27284202,0
2.0941944,4.088441,6.013487,6.950745,6.0166388,4.509586,7.300825,3.5156238,0.5074632,0
1.6060297,3.9792712,1.586812,6.932598,6.3749657,4.7810793,5.191215,1.6234643,0.2839081,0
1.8530022,3.8380814,2.2374914,7.037959,6.584345,5.5606465,5.3539486,1.6097147,0.27180624,0
3.8858855,3.6711345,4.335942,6.2366943,5.5176826,3.9125278,4.7170773,2.2289467,0.9369992,3
2.0965288,3.808166,2.843427,7.092979,6.7344604,5.0667686,5.492539,1.6550994,0.27137735,0
1.8497401,3.8433132,2.2319887,7.0397944,6.584698,5.60862,5.354318,1.6084847,0.27093136,0
1.8557333,3.8352485,2.2437427,7.0377507,6.585322,5.5417595,5.354598,1.610121,0.2721462,0
1.8491222,3.8440602,2.2309527,7.0401073,6.5846577,5.618429,5.3543434,1.6082809,0.27079254,0
1.8506181,3.8347979,2.2296028,7.0358534,6.581465,5.543701,5.3518605,1.6104653,0.27220175,0
1.8477455,3.8494952,2.230334,7.0423136,6.585566,5.666483,5.3552465,1.6071296,0.27017447,0
1.9302838,3.8134506,2.4291785,7.055373,6.6336856,5.411741,5.3921757,1.6158619,0.27287596,0
1.6046423,3.98049,1.5843312,6.932656,6.374551,4.7839513,5.1907415,1.6233723,0.28380483,0
1.9777281,3.973281,6.856961,6.920541,5.8239284,5.0401664,7.8711734,4.046658,0.54985476,0
1.8463231,3.856204,2.2252214,7.041658,6.5842667,5.6541014,5.354107,1.6071675,0.27031085,0
1.6061138,3.9796364,1.5869789,6.932676,6.3750634,4.782547,5.191278,1.6234481,0.28389636,0
1.8479756,3.847209,2.2301166,7.0415907,6.5851765,5.6531854,5.354914,1.6074948,0.2703451,0
2.027401,3.984376,2.6435304,7.0723357,6.676604,4.8654027,5.433774,1.6330996,0.27759993,0
1.5282276,4.096434,1.4416379,6.929679,6.3410907,4.667894,5.1589713,1.6201587,0.28112122,0
3.8988085,3.666198,2.9116588,6.1190176,4.8281655,3.9234774,3.2866664,2.4571135,1.9737307,3
1.8495233,3.8432782,2.2313802,7.039706,6.584526,5.6085954,5.3541985,1.6085036,0.2709321,0
1.8497401,3.8433132,2.2319887,7.0397944,6.584698,5.60862,5.354318,1.6084847,0.27093136,0
3.888679,3.668187,4.1187444,6.2261705,5.404475,3.9138417,4.48814,2.2555306,1.0509974,3
1.8563594,3.8332977,2.244619,7.037177,6.5850744,5.529791,5.354405,1.6104712,0.2723634,0
2.0944912,4.0880485,6.01218,6.950818,6.017075,4.5107245,7.2999096,3.5147536,0.50737935,0
1.9159577,3.8145113,2.3934932,7.051532,6.6240673,5.431766,5.3847,1.6149178,0.2728435,0
3.8785298,3.6750207,4.577829,6.2460833,5.6393843,3.9076087,4.9696746,2.2028089,0.85234857,3
1.5276097,4.0967307,1.4405075,6.929625,6.3408246,4.667266,5.1587214,1.6201391,0.28109607,0
1.8574978,3.8324845,2.2474523,7.037287,6.5856647,5.524943,5.35481,1.6105449,0.2724496,0
3.9176505,3.7049143,2.5451357,6.104272,4.6967044,3.9533522,2.9519923,2.643218,2.3657374,3
3.9991214,3.7710884,2.2282557,6.1369667,4.5488834,4.0543075,2.6151729,2.8959947,2.853009,3
2.094661,4.088288,6.011134,6.9508595,6.017341,4.510076,7.299194,3.514068,0.50732166,0
1.9293113,3.813528,2.4267907,7.05514,6.63306,5.413565,5.3916903,1.6157873,0.2728648,0
1.8572283,3.901247,2.248364,7.045165,6.5903087,5.584087,5.3571615,1.606003,0.27150753,0
1.9187186,3.8142653,2.4004219,7.0523067,6.625959,5.428575,5.386173,1.6150873,0.27283677,0
1.8503368,3.842085,2.2325602,7.039122,6.5843043,5.5942965,5.3540006,1.6088667,0.2711941,0
1.8465233,3.8501494,2.226872,7.0418787,6.5846567,5.666024,5.3545876,1.607192,0.27016973,0
1.8545668,3.8324723,2.2393947,7.0362554,6.5834985,5.5267463,5.353275,1.6107147,0.27246535,0
1.8490604,3.844427,2.2310836,7.0403266,6.584785,5.6228695,5.3544607,1.608176,0.270736,0
1.8551153,3.833165,2.2411773,7.036712,6.5841355,5.5302234,5.353736,1.6105559,0.2723814,0
1.6065104,3.9793956,1.5876914,6.9326797,6.375198,4.7821226,5.1914215,1.6234691,0.2839215,0
1.220442,0.6493774,4.3357825,2.3814867,1.7700703,1.6344334,2.1776788,2.9115188,1.3844467,2
2.14724,3.8102763,2.9750376,7.109269,6.7699323,5.0891194,5.533965,1.6693077,0.2675186,0
6.355559,3.5855935,4.7111335,6.1959724,2.247438,4.4940705,0.3867511,5.629207,6.239786,4
2.1675618,3.81058,3.030756,7.1171427,6.7856236,5.1218505,5.551763,1.6743917,0.26544738,0
3.8884437,3.6648993,3.7264585,6.1824913,5.207401,3.9012918,4.087552,2.2761905,1.3109561,3
2.4315577,4.0474577,3.6500928,7.183787,6.931013,4.871352,5.7199016,1.7263236,0.25154045,0
1.854738,3.835786,2.241276,7.037644,6.5848036,5.546018,5.354245,1.6100636,0.27207008,0
1.9582486,3.974633,6.998922,6.914737,5.7912273,5.0868464,7.9710937,4.1318874,0.55575657,0
1.6074885,3.977566,1.5894324,6.9325137,6.375398,4.7780776,5.191714,1.6235678,0.2840164,0
1.9159577,3.8145113,2.3934932,7.051532,6.6240673,5.431766,5.3847,1.6149178,0.2728435,0
7.7439003,3.8728178,6.7293153,6.6951694,5.9193363,4.783286,0.22744212,4.0439134,4.5540624,4
2.1125705,3.8086584,2.8816378,7.0969625,6.744405,5.0587077,5.5044694,1.6601925,0.2707597,0
1.8545668,3.8359203,2.240865,7.0376377,6.584726,5.546938,5.3541913,1.6100466,0.27205348,0
2.0375662,3.9864411,2.6718352,7.0763245,6.6845775,4.8680935,5.441089,1.6351626,0.2770754,0
3.8886034,3.6664245,3.7709742,6.188464,5.2297444,3.9032643,4.132832,2.2751935,1.281172,3
2.1478822,3.8103426,2.9768233,7.109549,6.770464,5.090666,5.5345488,1.6694543,0.26744577,0
1.8466376,3.8491662,2.227132,7.0417843,6.58466,5.66466,5.3545985,1.6072583,0.2701888,0
1.6056287,3.977333,1.5860577,6.93228,6.3745794,4.7760015,5.190957,1.623529,0.283943,0
4.037859,3.7971928,2.1144242,6.1517735,4.4805274,4.0939054,2.488041,2.9964402,3.062258,3
6.2946463,3.5668337,4.655397,6.162463,2.1622157,4.470349,0.3883703,5.615676,6.240275,4
3.8769119,3.676461,4.617519,6.246933,5.658381,3.9065013,5.009999,2.198884,0.8394096,3
1.9296649,3.8134975,2.4276645,7.0552287,6.633292,5.41297,5.391871,1.6158133,0.2728676,0
1.856527,3.8336802,2.245239,7.0373874,6.5853343,5.531872,5.3545895,1.6103871,0.27232522,0
1.8554378,3.8318396,2.2415552,7.036334,6.5839415,5.5229597,5.353584,1.6107762,0.27252418,0
6.298401,3.578312,4.633363,6.1748443,2.101291,4.480603,0.39292905,5.6763597,6.2920814,4
1.6060297,3.9792712,1.586812,6.932598,6.3749657,4.7810793,5.191215,1.6234643,0.2839081,0
1.9277003,3.8136384,2.4228723,7.054778,6.632051,5.4170895,5.390909,1.6156528,0.27283645,0
3.8881774,3.668012,4.156421,6.2279253,5.423954,3.9136605,4.528089,2.2520301,1.0279794,3
1.8490453,3.8444622,2.231072,7.0403433,6.5847907,5.6233053,5.354467,1.6081662,0.27073038,0
1.8574647,3.8316689,2.2470798,7.036995,6.5853934,5.5210133,5.354617,1.6106858,0.27252093,0
3.8927658,3.661016,3.2758353,6.1390038,4.9867806,3.901412,3.6453226,2.3356135,1.6526123,3
1.8518528,3.8335674,2.2324777,7.035796,6.581941,5.5358043,5.3521833,1.6106315,0.27233765,0
3.8881478,3.668189,4.205406,6.231018,5.449865,3.914061,4.57935,2.2453835,0.99692476,3
1.8464929,3.8498356,2.2267962,7.0418425,6.5846224,5.6659713,5.354569,1.6072099,0.2701705,0
1.8559115,3.8351002,2.2441652,7.0377507,6.5853987,5.540732,5.3546495,1.610141,0.27216476,0
1.8527483,3.8383815,2.236923,7.0379906,6.584265,5.562579,5.3538957,1.6096706,0.2717714,0
1.8474613,3.8503401,2.2295096,7.042267,6.5853815,5.6664834,5.3551006,1.6071093,0.27017128,0
2.09644,4.0824714,2.8160439,7.096189,6.7218366,4.7459717,5.4787297,1.6478481,0.27627364,0
6.3338566,3.5497026,4.7359266,6.1562514,2.372296,4.462156,0.37657303,5.4733896,6.1119084,4
1.8964738,3.8193967,2.3445807,7.046356,6.6108737,5.455762,5.374369,1.6135473,0.2728718,0
1.8554641,3.834337,2.242622,7.037293,6.584799,5.536686,5.354223,1.6103146,0.27224007,0
1.9277003,3.8136384,2.4228723,7.054778,6.632051,5.4170895,5.390909,1.6156528,0.27283645,0
1.9574535,3.9745893,7.0048695,6.9144874,5.789871,5.089006,7.9753723,4.135408,0.5559872,0
1.5283968,4.096358,1.4419461,6.9296904,6.3411593,4.6679773,5.159038,1.6201644,0.28112903,0
1.8491222,3.8440602,2.2309527,7.0401073,6.5846577,5.618429,5.3543434,1.6082809,0.27079254,0
1.5284071,4.0963554,1.4419643,6.9296894,6.3411617,4.6679564,5.159041,1.6201646,0.28112972,0
1.8547775,3.8334506,2.2403798,7.0367136,6.583993,5.5322146,5.353639,1.6105165,0.2723475,0
1.8551521,3.8871362,2.2453074,7.0449286,6.5899315,5.6104183,5.3572507,1.6060951,0.27098882,0
1.9234095,3.9717937,7.2817264,6.904012,5.731324,5.1980042,8.164891,4.297918,0.5679129,0
1.8465152,3.8526552,2.2267845,7.04208,6.5847507,5.666515,5.354611,1.607065,0.27016085,0
2.2082705,3.9274998,5.611487,6.9830556,6.1785665,5.205356,7.0029144,3.2298949,0.47740048,0
1.8468336,3.8491375,2.2276616,7.0418444,6.5847974,5.664416,5.3546934,1.6072512,0.27019343,0
1.8541087,3.8352585,2.2393374,7.037221,6.5841603,5.543527,5.3537846,1.6101975,0.27212834,0
1.9591668,3.9746768,6.992076,6.915029,5.7927914,5.084416,7.9661684,4.1278334,0.55549115,0
1.8551521,3.8871362,2.2453074,7.0449286,6.5899315,5.6104183,5.3572507,1.6060951,0.27098882,0
1.8495233,3.8432782,2.2313802,7.039706,6.584526,5.6085954,5.3541985,1.6085036,0.2709321,0
3.8881774,3.668012,4.156421,6.2279253,5.423954,3.9136605,4.528089,2.2520301,1.0279794,3
6.432615,3.522574,4.9122677,6.1575875,2.842593,4.45519,0.35326508,5.1788096,5.8512406,4
1.8481408,3.8467455,2.230404,7.041489,6.5851865,5.650506,5.3549094,1.6075606,0.2703804,0
6.3960643,3.4584234,4.9607882,6.0915313,3.1021621,4.4012294,0.33479849,4.8805194,5.608522,4
1.8468336,3.8491375,2.2276616,7.0418444,6.5847974,5.664416,5.3546934,1.6072512,0.27019343,0
1.9300156,3.8134744,2.428515,7.055304,6.6335096,5.4121647,5.392038,1.6158428,0.27287447,0
1.8463402,3.8520348,2.2263074,7.041958,6.584591,5.666295,5.3545074,1.6071105,0.27016288,0
3.8968165,3.6635768,2.9935455,6.123595,4.860126,3.9185748,3.363911,2.4230971,1.8987832,3
1.9959102,3.9716551,6.713842,6.925588,5.855487,4.9748487,7.77529,3.9590921,0.5429715,0
1.855196,3.8321228,2.240987,7.0363445,6.5838466,5.5244617,5.353518,1.6107426,0.27249855,0
1.858909,3.8317826,2.2511082,7.037559,6.5865192,5.520911,5.3554025,1.6105719,0.27252054,0
1.6057593,3.9788866,1.5863156,6.9325128,6.374805,4.779852,5.191086,1.6234729,0.2839076,0
1.8543468,3.8335102,2.2392335,7.0365944,6.5837054,5.5329785,5.353435,1.6105258,0.27234128,0
2.3657477,4.286882,4.9676065,7.0732265,6.4429913,5.3489165,6.506287,2.7358704,0.4238507,0
1.9562254,3.9534717,7.064782,6.9146843,5.7829795,5.237582,8.016769,4.170391,0.5583782,0
1.8464881,3.8618553,2.224298,7.041337,6.5839796,5.637892,5.3536735,1.6072247,0.2705088,0
4.213596,3.9593804,1.7314225,6.2396708,4.1039863,4.2696357,1.993946,3.4210093,3.8655589,3
1.9249454,3.9722219,7.2517943,6.904274,5.7341247,5.185457,8.152467,4.281529,0.56563705,0
2.1275718,4.2061114,5.8281827,6.96245,6.065477,4.367751,7.168845,3.3909988,0.4983322,0
3.896833,3.6629272,2.967011,6.1216135,4.8481894,3.920061,3.3374183,2.434472,1.9239283,3
1.8465052,3.861904,2.2243352,7.041341,6.5839887,5.637769,5.353678,1.6072235,0.2705104,0
1.9159577,3.8145113,2.3934932,7.051532,6.6240673,5.431766,5.3847,1.6149178,0.2728435,0
1.8463402,3.8520348,2.2263074,7.041958,6.584591,5.666295,5.3545074,1.6071105,0.27016288,0
1.8490604,3.844427,2.2310836,7.0403266,6.584785,5.6228695,5.3544607,1.608176,0.270736,0
1.8547212,3.8358023,2.241237,7.037643,6.5847964,5.546132,5.354239,1.6100607,0.272068,0
1.8541087,3.8352585,2.2393374,7.037221,6.5841603,5.543527,5.3537846,1.6101975,0.27212834,0
1.8583797,3.8293917,2.2489069,7.0366025,6.585459,5.510618,5.354653,1.6109858,0.2727123,0
1.8469133,3.8499696,2.2279763,7.0420203,6.5849476,5.6661754,5.3547983,1.6071708,0.27017117,0
1.856932,3.8997376,2.2478359,7.0451145,6.590214,5.5869837,5.3571324,1.6060162,0.27145055,0
1.8991597,3.8186812,2.3512697,7.0470233,6.612647,5.4516816,5.375757,1.6137557,0.27288267,0
2.2371395,3.80895,3.1963196,7.13323,6.824451,5.1117,5.5940657,1.6883423,0.26222673,0
1.8465643,3.85309,2.2268,7.0420566,6.584747,5.665051,5.354588,1.6070712,0.27017912,0
1.8464192,3.8514745,2.2265432,7.0419445,6.584629,5.666224,5.354544,1.6071329,0.2701651,0
1.8495233,3.8432782,2.2313802,7.039706,6.584526,5.6085954,5.3541985,1.6085036,0.2709321,0
6.2946463,3.5668337,4.655397,6.162463,2.1622157,4.470349,0.3883703,5.615676,6.240275,4
3.8886316,3.6683564,4.1263275,6.2266073,5.4084096,3.9138682,4.496139,2.254984,1.0464052,3
1.8545563,3.8358932,2.240825,7.037624,6.5847087,5.5467935,5.35418,1.6100523,0.27205616,0
1.8547688,3.8335054,2.240379,7.0367336,6.584007,5.5325375,5.35365,1.6105072,0.2723412,0
