0,1,2,3,4,5,6,7,8
6,6,19,4,15,2,12,11,4
0,6,19,3,10,2,16,19,7
5,8,5,3,9,2,2,49,23
5,6,8,1,17,2,9,8,1
1,6,8,3,13,5,15,13,1
1,6,5,3,15,5,9,3,6
10,6,12,2,1,2,1,53,29
2,6,12,3,16,5,11,8,1
10,6,11,2,5,5,1,40,28
6,6,19,4,15,3,12,18,1
0,8,4,3,10,4,11,4,7
5,6,5,4,9,2,2,23,13
0,7,4,4,12,4,11,7,3
3,4,16,3,17,5,9,4,1
10,6,12,2,12,0,14,11,1
10,6,8,4,0,2,1,50,29
2,8,12,2,17,5,9,11,1
2,8,10,3,16,3,10,10,1
2,6,11,3,4,2,6,52,30
6,6,15,3,16,4,10,3,10
2,6,12,4,15,3,13,11,1
5,6,19,4,15,2,14,19,7
1,6,13,3,6,5,11,37,23
10,6,12,0,3,3,1,50,27
0,6,5,3,11,4,13,15,4
6,6,19,3,15,5,13,19,7
2,6,12,2,16,3,9,4,1
2,5,5,2,16,2,10,7,2
10,6,16,4,8,3,1,35,25
1,6,5,2,12,2,12,16,2
2,6,13,2,16,0,11,9,1
12,6,25,3,17,5,12,6,1
0,6,5,3,6,5,14,22,9
8,6,17,1,15,0,9,11,2
2,6,13,3,14,2,17,13,2
2,6,8,4,14,3,13,14,1
8,8,8,3,17,4,9,1,1
2,4,23,1,12,2,18,30,2
1,8,8,2,14,3,12,14,1
6,4,19,3,17,2,13,19,3
8,6,14,1,19,0,1,9,2
0,8,3,3,11,3,12,19,7
5,6,5,2,5,3,2,30,23
0,8,28,3,8,4,17,40,8
2,6,26,3,14,1,17,25,1
5,6,8,3,10,5,4,19,6
10,6,17,4,0,5,1,39,30
0,6,5,3,10,1,13,19,4
0,6,14,3,6,0,15,31,9
10,6,4,2,2,3,2,48,28
8,4,24,2,13,1,4,23,14
5,6,8,2,17,3,6,1,2
2,8,13,3,14,4,17,15,1
1,6,8,2,16,2,8,1,2
2,4,6,2,15,2,9,3,2
2,8,5,3,16,4,11,9,1
0,6,15,2,12,5,17,15,14
0,6,5,3,5,3,12,41,7
2,7,12,3,15,2,10,8,2
2,4,11,3,16,4,11,10,1
5,6,15,1,0,5,5,49,21
6,6,5,3,5,1,5,38,24
0,6,5,2,12,2,12,8,2
5,6,5,3,6,5,3,30,20
2,6,19,4,15,3,15,15,2
6,4,19,3,17,3,14,11,2
6,6,12,3,17,4,9,2,1
0,6,4,3,7,3,10,31,15
10,6,11,3,0,4,1,52,30
0,7,26,2,12,3,18,30,3
2,4,24,2,15,3,17,15,1
0,6,12,3,13,5,11,11,1
5,5,22,4,15,2,4,19,7
10,6,26,2,6,5,1,39,28
6,6,19,4,10,3,11,31,7
8,6,19,3,15,3,11,19,5
1,6,5,3,12,1,13,7,2
10,8,12,3,0,2,1,38,29
0,6,9,3,10,2,17,16,5
6,6,19,3,15,2,12,2,2
0,6,5,2,5,2,12,39,21
10,6,9,3,0,2,1,50,30
2,6,8,2,15,3,9,8,1
5,6,6,4,5,1,3,40,20
2,8,12,3,16,1,9,2,2
10,6,23,2,7,3,1,38,23
7,8,25,3,19,3,18,18,3
2,8,8,2,16,1,11,5,2
0,6,13,3,13,5,14,14,5
2,6,26,4,14,2,17,27,2
0,6,25,2,11,5,18,29,3
0,6,9,4,12,5,13,16,3
10,6,11,2,0,5,1,53,31
12,4,24,3,19,2,2,30,9
3,6,22,2,14,1,17,19,2
0,6,14,3,12,2,17,14,2
5,6,5,3,5,5,5,30,13
0,6,5,4,10,3,13,14,6
5,6,9,1,6,1,7,30,12
8,8,8,3,16,5,11,1,1
6,6,5,3,4,5,2,38,22
6,6,19,2,17,3,13,14,3
6,6,19,3,15,6,13,11,1
1,6,26,3,12,4,17,25,1
2,6,12,2,14,3,12,11,2
0,6,11,3,13,1,17,14,1
8,4,8,3,0,2,2,50,30
1,6,6,4,13,3,15,11,1
6,8,19,4,17,3,9,1,1
2,7,8,3,14,4,12,11,1
6,6,19,1,15,2,13,19,5
2,6,8,2,16,2,11,10,2
10,4,11,1,0,0,1,52,30
12,6,25,3,19,4,1,11,13
1,6,5,2,10,3,9,1,1
2,8,5,3,11,3,9,15,6
0,6,27,2,12,0,18,30,3
2,6,12,0,15,3,11,10,2
8,6,24,2,17,4,13,11,1
2,4,8,4,12,1,14,24,3
2,8,12,3,15,5,13,11,1
0,6,4,4,10,2,12,19,7
0,6,8,4,10,3,10,24,9
5,6,4,1,14,2,11,30,13
0,6,7,2,12,6,17,13,3
10,6,17,3,4,5,1,51,29
2,6,19,3,15,3,14,14,2
10,6,17,3,5,4,1,41,30
5,8,5,4,12,5,3,25,21
10,6,14,4,4,5,1,37,27
5,8,7,1,4,4,8,53,20
0,6,9,2,12,2,12,10,9
5,6,5,2,9,5,7,25,9
1,6,6,2,13,5,12,11,2
2,6,8,1,14,1,16,11,2
5,8,5,2,4,5,1,31,24
0,6,9,4,12,2,17,13,2
5,6,5,4,9,2,4,26,9
5,8,5,3,15,3,4,18,7
5,6,19,1,15,5,4,15,21
2,6,8,3,14,2,14,9,2
2,6,15,0,15,3,17,19,2
2,8,8,3,16,3,9,3,1
0,4,23,2,12,4,11,11,3
0,4,12,3,11,3,17,14,7
1,4,5,3,13,5,12,11,1
0,6,14,2,14,1,17,13,2
10,6,12,2,5,3,1,43,26
2,6,12,2,15,5,13,11,1
2,4,12,2,15,3,13,11,1
10,8,12,3,5,5,1,39,28
2,6,4,3,6,2,9,34,15
10,6,18,3,5,5,1,40,20
1,4,5,3,5,3,9,19,7
0,4,25,4,13,5,18,23,3
3,6,12,2,17,2,9,1,1
2,6,8,2,14,3,11,11,1
2,6,16,1,6,5,17,29,13
8,6,5,3,10,3,5,18,9
8,8,4,3,0,2,3,53,9
5,7,8,1,6,4,3,30,21
6,6,6,3,6,3,4,38,22
2,5,5,3,10,3,9,18,7
10,6,8,3,0,2,1,50,30
2,6,26,4,14,4,17,14,5
0,6,2,2,12,5,13,16,3
10,6,15,2,3,0,1,53,29
2,6,8,3,14,4,11,10,2
0,6,19,4,9,3,17,37,22
2,6,12,2,15,0,12,11,2
2,6,14,0,14,3,15,36,2
0,6,5,4,6,3,13,16,3
1,6,4,3,12,4,10,11,1
3,6,4,3,17,4,9,1,1
2,6,8,4,14,1,11,9,2
3,6,22,3,14,6,14,19,1
2,7,15,3,6,3,15,37,24
6,6,19,4,17,3,12,7,1
1,6,5,4,14,3,10,11,2
5,6,5,3,10,2,3,24,14
5,4,21,4,14,1,14,19,7
0,4,24,2,12,5,18,30,3
2,6,8,4,14,6,15,9,2
3,6,15,2,19,1,9,7,2
2,6,12,4,15,3,13,11,1
2,8,12,2,16,2,9,2,2
10,6,16,3,6,1,1,40,27
2,8,9,3,16,4,9,5,1
0,8,5,3,10,5,11,14,2
5,6,5,3,10,5,4,19,7
2,6,12,4,14,2,13,11,2
2,6,5,3,15,5,9,2,1
3,6,12,0,17,4,11,1,14
1,8,4,3,13,5,11,7,2
2,8,5,3,11,3,12,17,7
12,6,23,2,19,1,1,8,14
10,6,17,4,2,5,1,51,29
6,8,23,4,15,3,13,19,5
2,8,12,2,14,3,11,9,2
7,7,4,3,0,2,2,54,30
3,6,8,4,16,3,9,1,2
2,6,8,2,16,3,9,4,1
2,8,11,4,16,3,9,4,1
0,6,11,4,5,5,17,36,14
2,6,7,4,14,3,10,9,1
2,6,16,3,6,3,11,36,22
0,6,3,2,10,2,14,15,3
2,6,12,2,15,3,17,11,1
5,6,19,3,10,2,12,18,8
2,6,21,4,14,2,17,20,2
2,6,8,0,14,0,11,11,2
10,6,11,3,5,3,1,38,29
2,8,12,2,14,2,11,10,1
2,7,12,4,16,3,9,3,2
0,6,5,3,13,2,13,15,4
2,7,7,2,16,2,9,3,2
2,7,13,2,15,3,15,11,1
5,6,6,3,12,4,7,1,1
0,6,5,2,13,2,12,15,3
2,6,6,3,14,1,9,8,2
0,4,10,2,12,0,13,11,3
6,6,19,2,14,2,18,19,3
5,6,5,3,15,5,12,18,7
5,6,6,2,10,1,11,26,9
0,6,19,3,13,2,17,14,5
10,8,11,3,4,3,1,38,27
0,8,11,3,13,3,13,14,5
6,6,14,3,15,2,13,14,2
2,6,6,4,15,3,10,8,2
0,6,24,2,12,2,18,30,3
0,4,4,4,10,2,11,19,7
0,6,17,4,7,3,17,33,5
2,6,14,0,14,0,13,37,1
5,6,5,4,5,2,3,28,21
0,6,5,3,12,1,11,16,9
0,6,26,2,12,2,18,30,4
0,6,4,2,8,5,13,31,5
0,4,23,2,12,2,18,30,3
10,6,4,3,6,3,1,38,23
10,6,10,2,0,0,1,51,30
2,5,5,3,10,3,9,16,10
2,8,5,3,15,2,9,6,2
2,6,14,2,14,3,17,13,1
6,6,19,1,15,3,17,41,7
6,6,19,3,15,5,13,19,7
2,6,14,2,15,3,17,16,1
0,6,28,2,10,3,18,30,4
0,4,26,2,12,1,18,30,3
1,6,15,2,12,2,15,30,2
6,6,5,4,5,5,4,31,21
0,6,5,0,12,0,13,11,1
0,6,12,2,12,5,13,14,1
2,6,12,4,15,3,14,11,1
7,4,26,2,11,2,14,18,9
2,8,5,3,16,3,9,2,1
2,4,8,3,14,3,14,8,1
10,6,12,2,0,5,1,51,31
1,4,8,4,14,3,13,11,2
2,8,7,3,14,3,9,7,7
10,6,14,0,4,0,13,11,2
0,7,9,2,12,2,18,29,3
1,6,5,3,13,4,12,11,2
2,8,12,4,14,3,11,8,1
6,8,5,3,5,1,4,19,20
5,6,4,2,15,2,9,7,2
0,6,2,2,12,4,14,14,3
0,6,5,1,10,2,13,11,12
10,4,16,3,0,5,1,50,29
5,6,5,3,10,5,12,30,11
8,5,26,2,12,1,5,25,14
6,6,12,2,16,4,11,2,1
1,6,16,4,7,5,17,38,16
5,6,17,3,6,1,4,40,15
2,6,8,3,16,4,10,9,1
5,4,8,3,2,2,7,1,22
2,6,19,2,14,2,17,19,2
1,6,9,1,14,3,12,11,1
2,6,12,3,15,2,13,11,2
1,6,17,2,14,2,17,25,1
0,5,5,2,12,2,13,15,3
2,6,14,2,14,2,15,16,2
5,6,4,3,12,2,4,27,2
0,6,19,2,12,1,13,31,3
2,6,8,3,14,1,12,9,2
2,6,12,3,16,2,11,6,1
10,6,9,3,4,1,1,41,23
10,8,12,4,5,4,1,40,29
2,7,10,2,14,2,10,8,2
2,6,8,4,14,3,14,14,2
0,6,5,4,9,0,13,11,4
6,6,16,2,6,5,7,31,21
8,8,5,3,0,2,2,53,29
5,6,6,3,10,5,6,24,12
0,6,5,4,12,5,13,13,3
5,6,5,3,5,1,2,43,19
6,6,19,2,15,2,13,19,7
2,6,19,3,14,3,17,15,1
2,6,14,0,14,0,11,15,2
10,6,5,3,4,6,1,39,28
0,4,2,2,12,4,12,14,3
2,6,12,4,14,3,14,11,2
0,6,5,3,10,5,10,16,4
2,6,12,3,14,3,9,2,2
5,6,12,3,16,4,12,1,1
2,6,8,3,16,1,9,3,1
5,6,5,3,6,5,5,36,20
2,6,23,3,15,2,12,15,1
1,6,24,0,14,3,17,15,2
5,6,4,2,4,2,4,38,23
5,8,5,1,6,5,3,29,22
0,6,19,3,10,4,12,27,5
1,4,12,3,13,4,13,11,1
0,4,26,2,12,6,18,30,3
10,4,12,2,19,0,13,11,2
5,6,5,4,12,1,8,24,12
3,6,8,3,17,4,7,1,1
2,6,5,4,15,2,13,11,1
10,6,8,3,17,5,1,8,1
6,6,14,2,17,2,11,5,2
1,8,8,3,16,3,11,2,1
0,6,5,2,12,2,13,14,3
10,6,13,0,0,3,1,53,27
2,6,8,2,14,5,11,8,1
2,8,14,3,14,3,11,7,2
1,6,5,2,12,4,13,11,2
0,6,5,3,4,1,11,40,22
2,8,8,3,16,5,7,1,1
2,6,12,2,15,3,13,11,1
0,6,18,2,7,3,13,31,7
0,6,4,4,9,3,12,30,7
2,8,5,3,10,3,6,17,9
1,8,8,3,13,1,11,9,2
5,6,9,1,5,2,8,37,20
2,6,19,3,14,2,13,15,2
10,6,16,3,0,5,1,50,28
2,6,5,3,14,5,13,8,1
10,8,12,3,0,5,1,54,32
1,6,9,4,13,1,12,11,2
5,6,23,3,10,3,15,19,7
5,6,5,4,5,5,4,29,9
5,6,5,2,5,2,13,35,20
2,6,8,4,16,2,11,9,1
3,6,10,3,17,2,9,2,2
0,6,5,3,12,1,12,15,2
5,6,5,0,5,3,13,37,20
5,6,5,2,10,5,12,19,4
2,6,12,4,15,4,17,14,1
2,6,8,4,16,3,9,5,1
1,6,8,3,12,2,13,8,2
10,6,16,2,7,2,1,38,29
3,6,8,3,17,4,9,3,1
2,6,19,3,14,2,17,30,3
0,6,5,4,6,3,14,38,12
0,6,16,3,14,3,15,15,3
2,6,7,2,15,1,9,1,1
10,6,8,3,0,1,1,50,30
2,6,10,2,16,2,11,8,2
10,6,11,3,4,5,1,54,29
7,8,8,3,0,2,9,54,10
2,8,5,3,10,3,9,44,22
1,6,8,3,13,4,13,11,1
5,6,16,3,5,2,5,38,21
10,6,15,3,0,6,1,49,27
2,4,12,3,15,3,14,14,1
0,6,5,3,5,3,14,15,7
2,6,12,2,16,1,11,6,2
2,8,5,3,14,1,11,9,2
0,6,27,2,12,4,18,30,3
0,6,5,2,4,4,13,31,9
2,6,5,3,6,3,9,17,20
1,6,3,3,14,4,11,11,1
5,6,5,1,10,2,3,28,20
5,7,19,4,15,3,13,19,7
2,4,8,3,11,3,11,18,10
2,6,14,0,14,0,15,9,1
1,6,5,2,13,6,11,11,1
0,6,5,1,11,5,13,27,5
1,6,5,2,7,2,11,14,2
5,6,19,4,15,5,12,11,1
2,6,15,2,12,2,17,16,7
10,8,14,3,2,5,1,38,28
2,8,13,3,14,3,16,20,2
1,8,2,3,14,3,9,8,2
1,6,14,4,13,4,17,11,1
5,6,19,2,15,2,13,18,4
2,6,16,2,14,2,17,14,2
2,6,17,2,14,2,17,15,1
12,6,26,4,19,2,1,11,13
0,4,19,3,14,5,17,19,1
0,6,8,0,10,3,13,30,12
2,6,17,3,11,3,17,19,7
2,6,22,3,15,1,11,4,2
0,6,5,4,12,2,13,14,2
12,4,28,3,19,3,9,6,7
1,6,11,4,13,3,17,14,1
0,6,23,1,12,2,18,29,3
2,6,7,1,14,4,12,11,1
1,8,7,3,13,5,14,11,1
2,5,12,2,15,3,13,7,1
10,6,11,3,0,5,1,49,31
2,4,5,3,10,2,9,16,6
2,6,9,3,14,5,11,10,1
6,8,8,4,3,5,7,24,21
5,4,10,1,8,3,13,41,20
6,6,25,4,19,3,17,19,7
1,4,5,3,10,3,9,16,7
2,8,8,3,14,3,14,14,1
5,6,7,4,3,3,8,1,2
10,6,11,3,0,4,1,38,30
0,6,19,2,14,3,17,13,5
5,4,5,2,9,5,1,23,13
2,6,8,4,15,5,15,7,1
5,6,5,3,5,2,13,37,13
2,6,8,1,16,4,11,8,1
0,6,15,3,8,2,13,13,22
2,8,4,3,14,3,9,1,2
2,6,12,4,16,2,9,3,1
1,6,9,0,12,3,12,16,2
0,6,5,4,10,3,13,13,3
10,6,12,0,7,3,1,42,23
1,7,11,3,14,3,17,14,1
0,6,4,4,7,4,12,30,13
0,6,5,3,12,6,13,13,2
0,6,5,3,12,2,14,14,3
6,8,10,4,16,3,9,2,1
1,6,5,2,12,0,12,11,1
5,6,19,3,9,1,7,14,9
1,6,5,2,13,3,11,11,1
10,6,16,2,0,2,1,49,2
0,6,16,3,10,4,17,22,5
5,6,5,2,4,0,1,54,22
1,6,10,3,14,5,12,8,1
2,6,8,3,14,3,11,10,2
2,6,8,4,16,2,9,4,1
6,6,5,3,6,2,3,38,12
2,5,7,2,15,3,12,11,1
1,8,8,2,14,4,11,9,1
10,8,15,3,3,5,1,52,24
0,6,28,1,15,3,17,30,4
6,6,19,3,15,1,13,19,5
10,6,5,3,3,0,1,50,29
10,6,9,2,0,0,1,53,32
2,4,13,3,16,3,11,7,2
10,6,16,3,5,5,1,38,21
6,6,22,3,15,1,13,19,5
0,6,5,4,12,1,13,17,3
0,4,3,3,13,3,13,16,2
6,6,19,2,17,3,13,2,2
2,6,19,3,15,5,14,11,1
2,6,8,0,14,3,9,1,2
5,6,5,3,4,2,4,31,19
5,6,5,3,5,5,5,25,14
6,6,4,2,6,5,2,41,17
0,6,19,3,12,2,13,15,3
2,8,5,4,16,3,7,8,1
0,7,4,4,11,4,18,30,3
7,4,9,3,0,2,5,54,30
0,6,18,2,6,3,17,42,7
1,6,8,4,13,3,14,15,1
0,4,14,3,10,3,17,14,5
6,6,19,4,15,3,17,19,4
2,8,8,4,16,5,9,1,1
2,7,14,3,6,1,9,41,7
10,4,15,3,5,3,1,38,23
0,4,26,2,12,3,18,30,3
2,6,16,3,5,2,9,34,7
3,4,12,3,16,5,11,11,1
10,4,4,1,6,3,1,54,28
7,8,17,2,7,3,10,34,7
2,4,6,3,16,2,9,2,1
10,8,15,3,6,3,1,37,29
11,7,24,2,19,1,7,23,11
0,6,5,4,10,4,13,16,5
10,8,15,3,3,1,1,38,28
2,6,24,1,18,2,13,19,5
2,8,25,4,19,3,9,4,12
2,6,12,0,14,3,12,9,2
2,5,5,3,10,3,9,18,7
6,6,19,3,14,1,13,15,2
5,6,23,3,13,2,13,19,7
0,6,8,3,12,2,15,14,3
10,8,15,3,5,5,1,39,28
0,6,5,4,12,3,13,11,3
0,6,9,2,10,3,16,15,10
0,6,19,3,10,5,17,19,5
1,6,8,2,12,3,13,15,1
6,6,15,2,16,3,13,11,5
0,6,5,3,12,4,13,16,3
7,8,5,3,0,2,2,54,30
2,6,8,3,14,4,14,11,1
2,6,12,2,15,5,9,3,1
2,6,12,3,15,4,9,7,1
2,6,5,2,15,3,12,4,2
5,8,19,3,15,2,13,18,7
5,6,5,2,12,3,8,1,2
0,6,12,4,12,5,17,11,1
2,8,8,2,14,3,15,11,2
2,6,12,1,14,4,12,1,1
12,7,23,2,12,3,6,19,13
2,6,8,1,14,3,12,11,2
2,6,26,2,14,2,17,19,2
0,6,9,1,12,2,17,19,3
7,6,25,3,18,6,17,41,2
2,6,12,2,15,3,17,11,1
2,6,13,3,14,1,12,9,2
10,8,12,2,0,6,1,54,29
0,6,5,4,13,4,15,11,1
8,4,5,3,10,3,3,16,9
5,6,5,3,4,2,3,30,20
0,6,5,4,10,5,14,25,9
2,6,8,3,16,6,7,1,1
2,8,5,3,2,2,6,52,30
2,8,14,3,16,5,13,7,1
10,8,10,3,0,5,1,53,33
6,6,20,2,15,2,12,19,5
0,6,27,3,12,5,18,30,3
5,8,5,4,15,3,13,19,7
1,6,5,2,13,4,13,10,2
0,6,19,4,13,1,17,14,3
2,6,12,0,15,3,13,11,1
2,8,12,3,15,5,11,8,1
5,8,5,3,6,5,3,29,21
10,8,12,3,2,3,1,50,29
2,8,8,4,15,3,11,11,2
0,6,5,3,10,4,13,14,6
5,6,25,4,14,1,14,19,7
2,6,16,2,14,1,17,34,2
5,6,14,3,14,2,11,8,2
1,6,10,2,13,1,11,8,1
2,6,6,4,15,2,9,2,1
0,8,23,2,12,3,10,18,7
2,6,7,4,16,2,9,1,2
3,6,16,3,16,4,12,11,2
2,6,9,2,14,2,15,14,2
5,6,5,1,5,3,3,31,20
2,6,8,4,15,5,9,4,1
0,6,19,4,13,3,17,30,3
5,5,6,3,10,3,7,23,13
0,6,5,4,9,5,13,15,13
2,6,8,4,16,4,9,5,1
3,4,8,3,17,5,12,7,1
6,8,19,3,16,4,12,8,1
0,6,14,3,6,0,15,31,13
5,6,19,3,15,2,13,19,7
0,8,4,3,12,3,6,8,2
12,7,24,2,13,3,6,4,12
3,6,8,3,16,4,9,1,1
1,8,5,3,10,3,7,14,6
1,6,8,3,13,3,10,10,1
10,6,8,4,0,4,1,52,32
0,6,19,3,10,5,17,30,4
2,6,18,4,8,1,13,40,23
2,6,12,2,14,4,11,5,1
10,8,11,3,5,5,1,51,29
2,6,8,3,16,2,11,5,2
0,6,5,3,10,3,13,15,4
5,6,6,2,17,3,9,1,2
1,4,16,2,13,0,14,11,3
